,Unnamed: 0,AB,Age,BB,from,G,H,HR,OPS,PA,R,SB,SO,to,WAR,experience,names,Zero,Year_difference
12225,12225,0,24.276,0,2000,9,0,0,,0,0,0,0,2000,0.0,1,Thomas Jacquez,0,0
12227,12227,4,29.114,2,2000,6,2,0,1.167,7,2,0,0,2000,0.3,1,Keith Johnson,0,0
12229,12229,0,25.053,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Mark Johnson,0,0
12233,12233,2,25.11,0,2000,1,0,0,0.0,2,0,0,0,2000,0.0,1,Marcus Jones,0,0
12238,12238,0,24.298000000000002,0,2000,5,0,0,,0,0,0,0,2000,0.0,1,Yovanny Lara,0,0
12242,12242,0,29.204,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Sang-Hoon Lee,0,0
12244,12244,3,24.247,0,2000,11,1,0,1.167,5,6,2,1,2000,0.1,1,Rod Lindsey,0,0
12248,12248,18,25.159000000000002,1,2000,6,6,0,0.7020000000000001,19,3,0,1,2000,0.0,1,Keith Luuloa,0,0
12251,12251,0,22.162,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Willie Martinez,0,0
12256,12256,13,23.325,0,2000,11,1,0,0.154,13,0,0,5,2000,-0.2,1,Juan Melo,0,0
12261,12261,0,25.081999999999997,0,2000,3,0,0,,0,0,0,0,2000,0.0,1,David Moraga,0,0
12262,12262,11,27.365,0,2000,3,3,0,0.636,11,1,0,3,2000,0.1,1,Willie Morales,0,0
12266,12266,0,24.358,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Danny Mota,0,0
12269,12269,4,22.0,0,2000,2,2,0,1.0,4,0,0,1,2000,0.1,1,Joey Nation,0,0
12272,12272,97,24.158,4,2000,37,21,1,0.585,105,7,1,31,2000,0.1,1,Kevin Nicholson,0,0
12274,12274,5,25.175,6,2000,18,1,0,0.7829999999999999,12,2,0,2,2000,0.1,1,Talmadge Nunnari,0,0
12276,12276,2,23.267,0,2000,6,1,0,1.0,2,0,0,1,2000,0.1,1,Brian O'Connor,0,0
12291,12291,0,28.268,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Jon Ratliff,0,0
12294,12294,0,22.090999999999998,0,2000,5,0,0,,0,0,0,0,2000,0.0,1,Luis Rivera,0,0
12295,12295,13,23.186999999999998,1,2000,8,1,0,0.20199999999999999,16,0,0,4,2000,-0.3,1,Nate Rolison,0,0
12306,12306,27,30.303,3,2000,25,5,1,0.563,30,4,0,4,2000,-0.1,1,Steve Sisco,0,0
12307,12307,2,27.326,0,2000,12,0,0,0.0,2,0,0,1,2000,0.0,1,Matt Skrmetta,0,0
12309,12309,0,28.058000000000003,0,2000,3,0,0,,0,0,0,0,2000,0.0,1,Brian Smith,0,0
12312,12312,0,25.127,0,2000,3,0,0,,0,0,0,0,2000,0.0,1,Steve Sparks,0,0
12317,12317,0,24.085,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Jay Spurgeon,0,0
12322,12322,6,24.209,3,2000,2,1,0,0.611,9,2,0,2,2000,0.0,1,Andy Thompson,0,0
12328,12328,10,24.043000000000003,1,2000,7,0,0,0.16699999999999998,13,1,0,5,2000,-0.3,1,Yohanny Valera,0,0
12330,12330,1,23.326,0,2000,1,0,0,0.0,1,0,0,0,2000,0.0,1,Ismael Villegas,0,0
12333,12333,45,30.038,4,2000,24,10,0,0.539,51,6,0,10,2000,-0.5,1,B.J. Waszgis,0,0
12343,12343,1,29.017,0,2000,11,0,0,0.0,1,0,0,1,2000,0.0,1,Matt Williams,0,0
12346,12346,0,28.155,0,2000,4,0,0,,0,0,0,0,2000,0.0,1,Danny Young,0,0
12351,12351,1,27.31,0,2001,14,0,0,0.0,1,0,0,1,2001,0.0,1,Justin Atchley,0,0
12352,12352,1,24.151999999999997,0,2001,8,0,0,0.0,1,0,0,0,2001,0.0,1,Benito Baez,0,0
12355,12355,46,28.068,4,2001,17,14,1,0.7859999999999999,51,5,1,7,2001,0.2,1,Andy Barkett,0,0
12356,12356,58,25.124000000000002,3,2000,20,14,0,0.623,64,6,0,9,2001,-0.1,2,John Barnes,0,1
12358,12358,1,25.348000000000003,0,2000,8,0,0,0.0,1,0,0,1,2001,0.0,2,Todd Belitz,0,1
12362,12362,9,25.076999999999998,0,2000,17,4,0,1.0,9,0,0,3,2001,0.2,2,Matt Blank,0,1
12370,12370,0,27.247,0,2000,2,0,0,,0,0,0,0,2001,0.0,2,Leslie Brea,0,1
12373,12373,46,27.094,3,2001,21,10,1,0.591,49,6,0,14,2001,-0.8,1,Cliff Brumbaugh,0,0
