,Unnamed: 0,AB,Age,BB,from,G,H,HR,OPS,PA,R,SB,SO,to,WAR,experience,names,Zero,Year_difference
12874,12874,2,28.364,0,2000,41,0,0,0.0,2,0,0,2,2003,0.0,4,Jerrod Riggan,0,3
12877,12877,2,27.079,0,2003,1,2,0,2.0,2,0,0,0,2003,0.1,1,Jason Roach,0,0
12881,12881,0,25.195,0,2003,1,0,0,,0,0,0,0,2003,0.0,1,Rodrigo Rosario,0,0
12882,12882,52,24.314,0,2002,33,12,0,0.5579999999999999,52,4,1,9,2003,0.1,2,Wilkin Ruan,0,1
12884,12884,0,26.219,0,2002,0,0,0,,0,0,0,0,2003,0.0,2,Carl Sadler,0,1
12885,12885,0,22.048000000000002,0,2003,3,0,0,,0,0,0,0,2003,0.0,1,Felix Sanchez,0,0
12886,12886,630,25.208000000000002,65,2001,196,139,25,0.703,706,83,4,236,2003,2.2,3,Jared Sandberg,0,2
12887,12887,92,24.045,5,2001,41,19,3,0.614,99,11,1,25,2003,-0.2,2,Angel Santos,0,2
12888,12888,15,29.116,0,2003,8,3,1,0.733,15,2,0,3,2003,-0.1,1,Francisco Santos,0,0
12889,12889,0,35.218,0,2000,12,0,0,,0,0,0,0,2003,0.1,4,Kazuhiro Sasaki,0,3
12890,12890,0,29.294,0,2003,0,0,0,,0,0,0,0,2003,0.0,1,Brian Schmack,0,0
12891,12891,85,27.339000000000002,7,2002,40,22,2,0.7070000000000001,94,11,0,19,2003,0.0,2,Todd Sears,0,1
12894,12894,876,31.15,55,2001,303,215,20,0.6679999999999999,960,98,9,128,2003,3.9,3,Tsuyoshi Shinjo,0,2
12898,12898,44,25.024,3,2003,21,7,1,0.485,47,3,1,9,2003,-0.1,1,Stephen Smitherman,0,0
12900,12900,4,23.233,0,2001,87,0,0,0.0,4,0,0,4,2003,0.0,3,Tim Spooneybarger,0,2
12901,12901,81,25.103,11,2003,37,20,3,0.753,93,14,0,24,2003,0.1,1,Dernell Stenson,0,0
12903,12903,1,22.285999999999998,0,2002,11,0,0,0.0,1,0,0,0,2003,0.0,2,Pat Strange,0,1
12904,12904,28,32.335,2,2000,25,4,1,0.486,30,6,0,12,2003,-0.1,3,Pedro Swann,0,3
12906,12906,1,24.281,0,2002,3,0,0,0.0,2,0,0,0,2003,0.0,2,Corey Thurman,0,1
12907,12907,0,32.096,0,2000,1,0,0,,0,0,0,0,2003,0.0,3,Kevin Tolar,0,3
12908,12908,93,30.267,4,2000,51,14,0,0.34700000000000003,110,5,0,33,2003,0.0,4,Brian Tollberg,0,3
12910,12910,819,29.149,38,2000,263,189,23,0.657,884,78,5,205,2003,-1.4,4,Chris Truby,0,3
12911,12911,28,24.22,3,2002,74,6,1,0.612,31,23,10,8,2003,0.1,2,Luis Ugueto,0,1
12912,12912,7,25.211,0,2003,7,1,0,0.28600000000000003,7,0,1,3,2003,0.0,1,Carlos Valderrama,0,0
12913,12913,8,24.098000000000003,0,2002,11,2,0,0.625,10,2,0,2,2003,0.1,2,Cory Vance,0,1
12918,12918,1,26.271,0,2001,4,0,0,0.0,1,0,0,1,2003,0.0,3,Brad Voyles,0,2
12920,12920,0,29.21,0,2000,4,0,0,,0,0,0,0,2003,0.0,3,Mark Watson,0,3
12921,12921,31,26.175,1,2002,25,6,1,0.574,32,3,1,9,2003,-0.1,2,Barry Wesson,0,1
12926,12926,20,31.153000000000002,0,2000,107,3,0,0.3,24,1,0,5,2003,-0.1,4,Chad Zerbe,0,3
12927,12927,37,26.234,2,2003,20,4,0,0.289,39,0,0,13,2003,-0.5,1,Peter Zoccolillo,0,0
12929,12929,28,25.248,0,2001,20,2,0,0.179,33,1,0,8,2004,-0.2,4,Kurt Ainsworth,0,3
12930,12930,11,26.307,0,2004,7,2,0,0.364,12,1,0,5,2004,-0.2,1,Jason Alfaro,0,0
12932,12932,64,25.146,7,2002,38,16,2,0.731,75,11,1,12,2004,-0.1,2,Tony Alvarez,0,2
12940,12940,217,29.113000000000003,15,2001,81,46,8,0.6459999999999999,237,28,2,45,2004,-1.3,4,Brandon Berger,0,3
12942,12942,0,26.129,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Dusty Bergman,0,0
12943,12943,13,28.108,0,2000,122,0,0,0.0,17,0,0,9,2004,-0.2,5,Rocky Biddle,0,4
12944,12944,8,26.051,2,2001,8,4,0,1.225,13,3,0,2,2004,0.3,3,Nick Bierbrodt,0,3
12946,12946,11,23.340999999999998,1,2002,46,0,0,0.083,13,0,0,6,2004,-0.1,3,Jung Bong,0,2
12950,12950,194,24.331,9,2002,63,42,3,0.562,207,18,1,44,2004,-0.4,2,Juan Brito,0,2
12951,12951,0,27.061,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Jamie Brown,0,0
12952,12952,767,31.039,73,2000,346,198,32,0.767,858,105,9,210,2004,0.5,5,Brian Buchanan,0,4
12957,12957,18,26.195999999999998,0,2002,29,3,0,0.33299999999999996,19,0,0,7,2004,0.0,3,Mike Bynum,0,2
12959,12959,424,27.357,25,2003,172,95,10,0.612,460,40,11,102,2004,-1.3,2,Ron Calloway,0,1
12960,12960,15,24.276999999999997,1,2004,9,2,0,0.38799999999999996,16,2,0,3,2004,-0.2,1,Ramon Castro,0,0
12963,12963,420,29.173000000000002,33,2000,182,100,6,0.6579999999999999,461,47,7,124,2004,0.5,5,Jason Conti,0,4
12964,12964,3,29.32,0,2001,78,0,0,0.0,3,0,0,3,2004,0.0,4,Mark Corey,0,3
12965,12965,4,24.221,0,2001,2,0,0,0.0,5,0,0,4,2004,0.0,4,Nate Cornejo,0,3
12966,12966,261,25.039,28,2001,132,50,4,0.5529999999999999,291,38,11,76,2004,-1.1,3,Cesar Crespo,0,3
12967,12967,0,28.358,0,2000,6,0,0,,0,0,0,0,2004,0.1,5,Jack Cressend,0,4
12968,12968,33,26.052,6,2004,14,5,2,0.6759999999999999,39,5,0,19,2004,0.1,1,Eric Crozier,0,0
12969,12969,1,31.199,0,2000,28,0,0,0.0,1,0,0,0,2004,0.0,3,Darwin Cubillan,0,4
12973,12973,1,32.26,0,2002,6,0,0,0.0,1,0,0,1,2004,0.0,3,Joey Dawley,0,2
12975,12975,0,27.064,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Kyle Denney,0,0
12976,12976,107,26.294,7,2004,50,24,3,0.6459999999999999,114,5,1,31,2004,0.1,1,Doug DeVore,0,0
12977,12977,1,24.059,0,2004,1,0,0,0.0,1,0,0,0,2004,0.0,1,Felix Diaz,0,0
12980,12980,7,26.031999999999996,1,2000,25,0,0,0.125,9,1,0,5,2004,-0.1,5,Tim Drew,0,4
12981,12981,154,25.148000000000003,18,2003,69,28,1,0.503,183,15,7,46,2004,-0.9,2,Jeff Duncan,0,1
12982,12982,6,28.354,0,2004,4,1,0,0.33299999999999996,6,0,0,1,2004,0.0,1,Matt Erickson,0,0
12984,12984,0,29.046999999999997,0,2000,58,0,0,,0,0,0,0,2004,0.0,3,Leo Estrella,0,4
12986,12986,2,29.072,0,2001,102,0,0,0.0,2,0,0,1,2004,0.0,4,Jeremy Fikac,0,3
12987,12987,1,27.246,0,2001,7,0,0,0.0,1,0,0,1,2004,0.0,3,Bob File,0,3
12988,12988,7,31.096999999999998,2,2002,16,1,0,0.5429999999999999,10,2,1,2,2004,-0.1,2,Jose Flores,0,2
12992,12992,0,27.318,0,2002,0,0,0,,0,0,0,0,2004,0.0,2,Kevin Frederick,0,2
12995,12995,194,24.174,24,2003,77,44,5,0.706,237,28,3,45,2004,0.2,2,Daniel Garcia,0,1
12997,12997,0,25.218000000000004,0,2003,4,0,0,,0,0,0,0,2004,0.0,2,Rosman Garcia,0,1
12998,12998,3,25.014,1,2001,2,1,0,0.833,6,0,0,0,2004,0.2,4,Chris George,0,3
12999,12999,39,24.11,8,2004,21,7,0,0.583,49,7,0,14,2004,0.1,1,Byron Gettis,0,0
13000,13000,1,26.266,0,2004,5,0,0,0.0,1,0,0,0,2004,0.0,1,Chris Gissell,0,0
13002,13002,20,25.143,1,2001,15,2,0,0.243,22,1,0,4,2004,-0.1,2,Dicky Gonzalez,0,3
13003,13003,348,30.177,34,2000,168,81,5,0.632,385,41,7,65,2004,-0.2,5,Raul Gonzalez,0,4
13005,13005,0,24.265,0,2004,7,0,0,,0,0,0,0,2004,0.0,1,Frank Gracesqui,0,0
13006,13006,10,26.103,2,2003,8,0,0,0.16699999999999998,13,0,0,4,2004,-0.1,2,Jeremy Griffiths,0,1
13010,13010,309,27.215,13,2003,88,84,4,0.698,335,46,3,67,2004,1.1,2,Bo Hart,0,1
13012,13012,1,26.046,0,2004,4,0,0,0.0,1,0,0,1,2004,0.0,1,Matt Hensley,0,0
13015,13015,4,29.044,0,2001,6,0,0,0.0,5,0,0,3,2004,-0.1,3,Adrian Hernandez,0,3
13016,13016,52,24.156999999999996,2,2001,37,8,0,0.33899999999999997,63,3,0,17,2004,0.0,3,Carlos Hernandez,0,3
13017,13017,0,25.155,0,2004,1,0,0,,0,0,0,0,2004,0.0,1,Joe Hietpas,0,0
13020,13020,18,25.26,0,2002,38,1,0,0.111,19,1,0,7,2004,-0.2,3,Ben Howard,0,2
13021,13021,0,25.094,0,2004,1,0,0,,0,0,0,0,2004,0.0,1,Justin Huisman,0,0
13022,13022,194,25.269000000000002,16,2003,82,43,3,0.599,219,19,1,30,2004,-1.3,2,Tim Hummel,0,1
13024,13024,160,29.006,14,2004,42,44,9,0.835,176,17,0,47,2004,0.6,1,Bucky Jacobsen,0,0
13028,13028,22,24.176,0,2003,18,3,0,0.364,22,2,0,8,2004,-0.1,2,David Kelton,0,1
13029,13029,0,27.18,0,2002,16,0,0,,1,0,0,0,2004,0.1,3,Jason Kershner,0,2
13031,13031,7,27.233,1,2001,34,2,0,0.6609999999999999,9,2,0,1,2004,0.2,4,Gary Knotts,0,3
13033,13033,54,22.031999999999996,1,2004,22,9,0,0.40399999999999997,55,5,0,21,2004,-0.6,1,Josh Kroeger,0,0
13035,13035,14,25.221,0,2004,7,0,0,0.0,14,0,0,4,2004,-0.7,1,Josh Labandeira,0,0
13038,13038,291,28.054000000000002,35,2001,109,52,8,0.57,332,29,4,86,2004,-0.9,4,Brandon Larson,0,3
13040,13040,209,27.293000000000003,8,2002,88,47,5,0.583,221,18,1,57,2004,-0.6,3,Jose Leon,0,2
13043,13043,145,30.201999999999998,8,2001,52,33,3,0.59,155,10,0,25,2004,-1.0,2,Luis Lopez,0,3
13045,13045,4,30.320999999999998,1,2004,6,1,0,0.75,6,1,0,0,2004,0.2,1,Mickey Lopez,0,0
13047,13047,13,23.081,0,2004,9,2,0,0.385,13,3,0,1,2004,-0.1,1,Val Majewski,0,0
13048,13048,0,26.189,0,2003,1,0,0,,0,0,0,0,2004,0.0,2,Mark Malaska,0,1
13050,13050,0,26.000999999999998,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Sam Marsonek,0,0
13051,13051,0,25.241999999999997,0,2004,2,0,0,,0,0,0,0,2004,0.0,1,Anastacio Martinez,0,0
13055,13055,1,29.186999999999998,0,2000,17,0,0,0.0,1,0,0,1,2004,0.0,4,Dave Maurer,0,4
13057,13057,1,28.209,0,2004,8,0,0,0.0,1,0,0,0,2004,0.0,1,Sam McConnell,0,0
13059,13059,77,30.265,2,2002,37,19,0,0.5529999999999999,83,7,0,15,2004,-0.4,2,Cody McKay,0,2
13062,13062,285,30.171,41,2000,136,66,13,0.738,334,35,0,61,2004,0.1,4,Damon Minor,0,4
13064,13064,80,27.156999999999996,6,2001,55,12,0,0.37200000000000005,99,3,0,37,2004,0.3,4,Damian Moss,0,3
13069,13069,0,27.329,0,2003,3,0,0,,0,0,0,0,2004,0.0,2,Micheal Nakamura,0,1
13070,13070,3,27.021,0,2002,49,1,0,0.667,3,0,0,2,2004,0.1,3,Shane Nance,0,2
13071,13071,0,23.018,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Sam Narron,0,0
13072,13072,0,26.094,0,2003,3,0,0,,0,0,0,0,2004,0.0,2,Michael Neu,0,1
13073,13073,4,28.244,0,2000,88,2,0,1.0,5,1,0,1,2004,0.2,3,Phil Norton,0,4
13074,13074,302,27.241,34,2002,136,63,6,0.596,339,42,1,74,2004,-1.2,2,Abraham Nunez,0,2
13076,13076,0,32.179,0,2001,117,0,0,,0,0,0,0,2004,0.1,4,Eddie Oropesa,0,3
13080,13080,4,26.261999999999997,0,2002,13,1,0,0.5,6,0,0,0,2004,0.1,3,Josh Pearce,0,2
13081,13081,202,30.36,17,2002,99,52,4,0.716,227,27,2,68,2004,-0.3,3,Kit Pellow,0,2
13083,13083,0,25.041,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Adam Peterson,0,0
13084,13084,1,27.048000000000002,0,2001,8,0,0,0.0,1,0,0,1,2004,0.0,3,Travis Phelps,0,3
13085,13085,49,27.221999999999998,5,2004,16,8,1,0.515,56,4,0,12,2004,-0.5,1,Simon Pond,0,0
13086,13086,67,28.182,1,2003,47,17,1,0.578,68,8,1,30,2004,0.1,2,Colin Porter,0,1
13089,13089,0,24.229,0,2002,5,0,0,,0,0,0,0,2004,0.0,2,Andy Pratt,0,2
13090,13090,43,28.005,3,2003,24,9,1,0.5579999999999999,47,5,0,13,2004,-0.5,2,Alex Prieto,0,1
13092,13092,160,25.033,9,2001,75,34,0,0.544,174,24,10,36,2004,0.2,3,Tim Raines,0,3
13094,13094,19,26.107,0,2001,70,3,0,0.316,19,0,1,8,2004,0.0,3,Brian Reith,0,3
13095,13095,177,26.101999999999997,10,2003,81,39,2,0.5770000000000001,189,18,2,36,2004,-0.6,2,Rene Reyes,0,1
13099,13099,110,25.331,9,2003,85,24,3,0.624,124,13,0,31,2004,-0.9,2,Carlos Rivera,0,1
13101,13101,0,28.124000000000002,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Jake Robbins,0,0
13102,13102,4,26.218000000000004,0,2000,75,1,0,0.5,5,1,0,3,2004,0.1,5,Grant Roberts,0,4
13104,13104,52,27.113000000000003,1,2002,43,8,0,0.36200000000000004,58,4,0,14,2004,0.0,3,Jeriome Robertson,0,2
13105,13105,819,27.018,42,2000,266,203,9,0.628,883,103,27,184,2004,-0.3,5,Damian Rolls,0,4
13106,13106,2,22.254,0,2004,1,0,0,0.0,2,0,0,1,2004,0.0,1,Chris Saenz,0,0
13109,13109,0,25.081,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Phil Seibel,0,0
13110,13110,0,28.147,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Jimmy Serrano,0,0
13112,13112,0,25.18,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Ryan Snare,0,0
13113,13113,13,27.349,1,2002,18,4,1,0.8959999999999999,14,4,4,4,2004,0.2,2,Esix Snead,0,2
13114,13114,59,28.104,6,2002,19,12,1,0.565,66,5,0,22,2004,-0.4,2,Earl Snyder,0,2
13117,13117,0,25.265,0,2003,0,0,0,,0,0,0,0,2004,0.0,2,Josh Stewart,0,1
13118,13118,4,29.05,0,2001,177,0,0,0.0,4,0,0,3,2004,0.0,4,Scott Stewart,0,3
13122,13122,1,25.15,0,2004,7,0,0,0.0,1,0,0,1,2004,0.0,1,Jason Szuminski,0,0
13123,13123,21,25.193,1,2002,25,6,1,0.794,23,2,0,6,2004,0.4,3,Dennis Tankersley,0,2
13124,13124,0,27.043000000000003,0,2002,1,0,0,,0,0,0,0,2004,0.0,3,Aaron Taylor,0,2
13125,13125,6,25.136,1,2004,2,0,0,0.14300000000000002,7,0,0,0,2004,-0.1,1,Mike Tonis,0,0
13130,13130,0,24.246,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Eduardo Villacis,0,0
13131,13131,2,28.217,0,2000,77,0,0,0.0,2,0,0,2,2004,0.0,5,Brandon Villafuerte,0,4
13133,13133,0,26.075,0,2004,11,0,0,,0,0,0,0,2004,0.0,1,Steve Watkins,0,0
13134,13134,12,25.1,0,2002,26,0,0,0.0,14,0,0,5,2004,-0.2,3,Justin Wayne,0,2
13136,13136,554,33.289,58,2001,214,140,15,0.7140000000000001,626,75,0,169,2004,-0.2,4,Tom Wilson,0,3
13137,13137,6,26.139,0,2001,3,0,0,0.0,6,0,0,2,2004,-0.1,4,Dan Wright,0,3
13139,13139,9,24.236,1,2003,10,2,0,0.606,13,1,0,1,2004,0.0,2,Jason Young,0,1
13141,13141,78,36.137,5,2002,67,13,3,0.5479999999999999,84,7,0,34,2004,-0.7,2,Alan Zinter,0,2
13142,13142,868,28.006,60,2001,232,212,8,0.622,955,97,21,93,2005,0.0,4,Brent Abernathy,0,4
13143,13143,101,27.285,5,2001,103,8,0,0.22899999999999998,120,2,0,61,2005,-0.6,5,Jose Acevedo,0,4
13150,13150,0,26.035999999999998,0,2003,9,0,0,,0,0,0,0,2005,0.0,3,Jason Anderson,0,2
13156,13156,1,25.285999999999998,0,2004,20,1,0,2.0,1,0,0,0,2005,0.1,2,Cliff Bartosh,0,1
13157,13157,2,25.046999999999997,0,2004,39,1,0,1.0,2,0,0,0,2005,0.1,2,Chad Bentz,0,1
13158,13158,38,22.141,0,2005,17,5,0,0.263,38,3,0,10,2005,-0.4,1,William Bergolla,0,0
13159,13159,62,23.318,2,2005,56,11,1,0.49,65,7,1,19,2005,-0.8,1,Tony Blanco,0,0
13163,13163,0,24.057,0,2005,0,0,0,,0,0,0,0,2005,0.0,1,Travis Bowyer,0,0
13164,13164,1,26.252,0,2004,12,0,0,0.0,1,0,0,0,2005,0.0,2,Frank Brooks,0,1
13166,13166,19,27.118000000000002,1,2005,11,2,0,0.255,20,3,1,4,2005,-0.1,1,Jaime Bubela,0,0
13167,13167,10,28.357,0,2003,110,1,0,0.2,12,1,0,6,2005,0.0,3,Nate Bump,0,2
13168,13168,5,28.118000000000002,0,2005,4,1,0,0.4,5,0,0,1,2005,-0.1,1,Napoleon Calzado,0,0
13171,13171,2,26.211,0,2002,59,0,0,0.0,2,0,0,1,2005,0.0,4,Jaime Cerda,0,3
13172,13172,19,24.072,0,2005,10,5,0,0.579,20,1,0,3,2005,-0.2,1,Angel Chavez,0,0
13173,13173,22,27.265,3,2002,19,2,0,0.29100000000000004,25,3,0,10,2005,-0.1,4,Chin-Feng Chen,0,3
13174,13174,1,26.176,0,2002,10,0,0,0.0,1,0,0,0,2005,0.0,2,Matt Childers,0,3
13175,13175,915,26.2,141,2002,363,220,40,0.7859999999999999,1086,130,3,262,2005,2.6,4,Hee-Seop Choi,0,3
13177,13177,78,28.237,8,2001,46,12,0,0.43700000000000006,92,9,3,13,2005,-1.0,4,Jermaine Clark,0,4
13185,13185,50,31.235,4,2004,27,13,1,0.701,56,9,0,7,2005,0.1,2,Brian Dallimore,0,1
13188,13188,106,26.195,9,2002,67,19,1,0.465,117,6,3,34,2005,-1.3,4,J.J. Davis,0,3
13189,13189,0,26.320999999999998,0,2003,0,0,0,,0,0,0,0,2005,0.0,3,Jorge De Paula,0,2
13190,13190,0,31.2,0,2000,12,0,0,,0,0,0,0,2005,0.0,4,Craig Dingman,0,5
13191,13191,0,25.136,0,2003,4,0,0,,0,0,0,0,2005,0.0,3,Juan Dominguez,0,2
13192,13192,13,29.204,0,2004,9,2,0,0.368,14,0,0,3,2005,-0.3,2,Andy Dominique,0,1
13193,13193,2,26.153000000000002,0,2001,2,0,0,0.0,2,0,0,0,2005,0.0,5,Sean Douglass,0,4
13194,13194,210,26.146,13,2004,86,49,10,0.7290000000000001,227,23,0,81,2005,-0.8,2,Jason Dubois,0,1
13198,13198,206,26.204,6,2002,84,43,0,0.5429999999999999,226,20,8,56,2005,-0.1,4,Felix Escalona,0,3
13199,13199,5,24.004,0,2005,3,1,0,0.4,6,0,0,0,2005,0.0,1,Mike Esposito,0,0
13201,13201,37,24.349,0,2003,22,3,0,0.267,38,3,0,19,2005,-0.2,3,Jesse Foppert,0,2
13202,13202,0,27.138,0,2002,87,0,0,,0,0,0,0,2005,0.0,3,John Foster,0,3
13204,13204,65,31.039,6,2005,25,16,1,0.6579999999999999,72,7,0,17,2005,-0.3,1,Alejandro Freire,0,0
13205,13205,88,28.249000000000002,8,2005,42,27,1,0.782,102,15,3,12,2005,0.0,1,Eddy Garabito,0,0
13207,13207,0,26.128,0,2005,0,0,0,,0,0,0,0,2005,0.0,1,Dave Gassner,0,0
13208,13208,42,22.208000000000002,5,2005,15,6,1,0.44799999999999995,47,4,1,7,2005,-0.3,1,Tony Giarratano,0,0
13209,13209,971,29.136,105,2000,325,236,38,0.7509999999999999,1118,120,9,230,2005,1.6,6,Keith Ginter,0,5
13212,13212,3,25.324,0,2005,3,0,0,0.0,3,0,0,1,2005,-0.1,1,Tyrell Godwin,0,0
13214,13214,21,25.213,0,2003,31,2,0,0.18600000000000003,26,0,0,7,2005,-0.1,3,Andrew Good,0,2
13215,13215,301,29.131,33,2002,190,59,11,0.613,336,35,1,85,2005,-1.9,4,Jason Grabowski,0,3
13216,13216,0,27.252,0,2004,0,0,0,,0,0,0,0,2005,0.0,2,Alex Graman,0,1
13225,13225,998,27.078000000000003,60,2001,271,273,27,0.733,1078,102,3,200,2005,-0.4,4,Ken Harvey,0,4
13230,13230,523,27.108,48,2002,249,137,6,0.693,596,67,6,100,2005,0.3,4,Bobby Hill,0,3
13233,13233,4,27.32,0,2004,53,1,0,0.5,4,0,0,1,2005,0.0,2,Joe Horgan,0,1
13234,13234,164,32.019,4,2002,98,18,1,0.271,191,10,0,73,2005,-0.6,4,Kazuhisa Ishii,0,3
13235,13235,74,29.295,1,2001,48,10,0,0.32,85,5,0,22,2005,0.0,4,Ryan Jensen,0,4
13238,13238,0,26.086,0,2004,21,0,0,,0,0,0,0,2005,0.0,2,Mike Johnston,0,1
13239,13239,0,27.124000000000002,0,2003,11,0,0,,0,0,0,0,2005,0.0,2,Jimmy Journell,0,2
13240,13240,0,29.136,0,2001,4,0,0,,0,0,0,0,2005,0.0,2,Jason Karnuth,0,4
13241,13241,14,26.248,1,2000,26,4,0,0.69,15,5,1,6,2005,-0.1,2,Kenny Kelly,0,5
13243,13243,69,28.285999999999998,2,2000,69,5,0,0.18600000000000003,77,3,0,30,2005,-0.6,5,Matt Kinney,0,5
13244,13244,2,36.018,0,2005,33,1,0,1.5,2,1,0,1,2005,0.1,1,Dae-Sung Koo,0,0
13245,13245,48,23.215,3,2004,21,9,0,0.486,54,6,0,18,2005,0.2,2,Dave Krynzel,0,1
13250,13250,1,24.33,0,2004,16,0,0,0.0,2,0,0,0,2005,0.0,2,Pedro Liriano,0,1
13252,13252,5,23.159000000000002,1,2005,10,1,0,0.733,6,4,0,1,2005,0.2,1,Alejandro Machado,0,0
13253,13253,68,24.184,12,2003,24,15,0,0.657,81,7,4,32,2005,-0.3,3,Anderson Machado,0,2
13255,13255,0,29.037,0,2004,0,0,0,,0,0,0,0,2005,0.0,2,Bobby Madritsch,0,1
13256,13256,540,28.155,34,2001,270,119,11,0.629,595,67,5,120,2005,-0.3,5,Chris Magruder,0,4
13257,13257,100,32.293,6,2000,46,18,1,0.501,115,8,0,20,2005,-0.2,3,Mike Mahoney,0,5
13260,13260,6,28.12,0,2003,7,1,1,0.833,6,1,0,2,2005,-0.1,2,Dave Matranga,0,2
13261,13261,25,31.182,0,2000,219,3,1,0.36,28,2,0,9,2005,0.2,6,Mike Matthews,0,5
13264,13264,18,26.287,0,2005,18,3,0,0.389,18,3,0,10,2005,-0.3,1,Marshall McDougall,0,0
13272,13272,39,31.285999999999998,2,2005,17,5,0,0.35,41,1,0,7,2005,-0.8,1,Norihiro Nakamura,0,0
13273,13273,1,27.07,0,2001,99,0,0,0.0,1,0,0,1,2005,0.0,5,Blaine Neal,0,4
13275,13275,121,25.109,4,2003,42,27,0,0.522,133,13,5,19,2005,-0.4,3,Ramon Nivar,0,2
13276,13276,0,28.156999999999996,0,2004,1,0,0,,0,0,0,0,2005,0.0,2,Franklin Nunez,0,1
13279,13279,99,26.322,17,2004,51,18,2,0.615,117,8,1,20,2005,-0.4,2,Tim Olson,0,1
13282,13282,2,28.127,0,2005,5,0,0,0.0,2,0,0,0,2005,0.0,1,Chris Oxspring,0,0
13283,13283,2,28.226,0,2004,36,1,0,1.0,2,0,0,1,2005,0.1,2,Juan Padilla,0,1
13286,13286,3,22.003,0,2005,2,0,0,0.0,3,0,0,1,2005,-0.1,1,Miguel Perez,0,0
13288,13288,17,31.125,2,2003,69,1,0,0.217,20,1,0,5,2005,-0.1,3,Tommy Phelps,0,2
13291,13291,2,32.265,0,2005,2,0,0,0.0,3,0,0,0,2005,-0.2,1,Chris Prieto,0,0
13292,13292,9,29.264,1,2002,80,0,0,0.1,11,0,0,7,2005,-0.1,4,Brandon Puffer,0,3
13296,13296,5,26.221999999999998,1,2005,6,1,0,0.5329999999999999,6,1,0,2,2005,-0.1,1,Keith Reed,0,0
13298,13298,0,26.276999999999997,0,2004,1,0,0,,0,0,0,0,2005,0.0,2,Nick Regilio,0,1
13299,13299,27,29.364,0,2000,224,4,0,0.29600000000000004,28,2,0,16,2005,0.0,6,John Riedling,0,5
13301,13301,8,27.079,0,2002,5,1,0,0.25,8,0,0,4,2005,0.0,4,Ricardo Rodriguez,0,3
13302,13302,191,26.015,13,2002,129,39,2,0.535,209,26,8,53,2005,-1.3,4,Jason Romano,0,3
13304,13304,8,24.234,0,2005,3,2,1,0.875,8,1,0,1,2005,-0.1,1,Ray Sadler,0,0
13305,13305,1527,28.331,76,2001,427,452,6,0.7020000000000001,1651,193,122,233,2005,1.1,5,Alex Sanchez,0,4
13307,13307,0,26.011999999999997,0,2003,2,0,0,,0,0,0,0,2005,0.0,2,David Sanders,0,2
13310,13310,1,25.24,0,2005,48,0,0,0.0,1,0,0,0,2005,0.0,1,Steve Schmoll,0,0
13311,13311,106,30.136,8,2001,60,23,1,0.562,115,11,0,23,2005,-0.6,2,Scott Seabol,0,4
13312,13312,45,26.212,3,2005,21,9,1,0.561,49,7,0,9,2005,-0.5,1,Todd Self,0,0
13313,13313,15,27.164,1,2005,6,3,0,0.435,18,1,0,5,2005,-0.1,1,Adam Shabala,0,0
13314,13314,15,32.291,1,2005,11,6,2,1.4040000000000001,17,4,0,1,2005,0.3,1,Rick Short,0,0
13316,13316,49,28.272,7,2003,48,7,1,0.495,57,5,0,15,2005,-0.3,2,Zach Sorensen,0,2
13317,13317,1553,30.241999999999997,175,2001,457,419,48,0.79,1785,258,32,373,2005,8.2,5,Junior Spivey,0,4
13318,13318,22,27.037,2,2003,28,5,0,0.626,26,8,0,6,2005,0.0,2,Jamal Strong,0,2
13320,13320,3,25.081999999999997,0,2004,2,1,0,0.667,3,1,0,1,2005,0.0,2,Kazuhito Tadano,0,1
13321,13321,0,36.311,0,2004,15,0,0,,0,0,0,0,2005,0.0,2,Shingo Takatsu,0,1
13322,13322,507,28.160999999999998,28,2000,260,117,14,0.654,548,62,21,163,2005,-0.5,5,Reggie Taylor,0,5
13325,13325,282,26.164,26,2004,113,73,7,0.7390000000000001,322,39,3,53,2005,0.8,2,Charles Thomas,0,1
13326,13326,4,24.166,0,2005,4,0,0,0.0,5,0,0,2,2005,-0.1,1,Derek Thompson,0,0
13328,13328,47,25.178,2,2002,43,14,0,0.687,53,2,0,8,2005,-0.1,4,Tony Torcato,0,3
13329,13329,36,26.301,0,2000,160,10,0,0.583,37,4,0,10,2005,0.3,5,T.J. Tucker,0,5
13332,13332,406,28.053,41,2001,205,95,13,0.696,450,50,0,101,2005,-0.9,5,Eric Valent,0,4
13333,13333,1,25.28,0,2003,41,0,0,0.0,1,0,0,0,2005,0.0,3,Joe Valentine,0,2
13334,13334,1,26.351,0,2004,5,0,0,0.0,1,0,0,1,2005,0.0,2,Jorge Vasquez,0,1
