time,from,to,size
22,1,6,0.131327
22,7,1,7.58e-08
22,2,3,0.262568
22,2,8,0.131297
22,9,2,5.62e-08
22,2,10,0.131289
22,11,3,6.1e-08
22,3,4,0.131273
22,3,12,0.131275
22,4,13,0.131268
22,14,4,9.16e-08
23,1,2,0.251237
23,5,1,1.01e-08
23,1,6,0.0628145
23,7,1,8.89e-09
23,2,3,0.125609
23,2,8,0.0628076
23,9,2,1.17e-08
23,2,10,0.0628058
23,11,3,1.23e-08
23,3,4,0.0628021
23,3,12,0.0628027
23,4,13,0.0628009
23,14,4,1.05e-08
24,1,2,0.150596
24,1,5,2.56e-09
24,1,6,0.0376509
24,1,7,2.99e-09
24,2,3,0.0752948
24,2,8,0.0376484
24,9,2,3.76e-10
24,2,10,0.0376478
24,11,3,1.89e-10
24,3,4,0.0376465
24,3,12,0.0376467
24,4,13,0.037646
24,4,14,3.73e-09
25,1,2,0.150913
25,5,1,8e-12
25,1,6,0.03773
25,7,1,9.26e-12
25,2,3,0.075453
25,2,8,0.0377275
25,2,9,1.32e-12
25,2,10,0.0377269
25,3,11,1.07e-12
25,3,4,0.0377256
25,3,12,0.0377258
25,4,13,0.0377251
25,14,4,1.23e-11
26,1,2,0.167042
26,5,1,2.44e-10
26,1,6,0.0417627
26,7,1,3.13e-10
26,2,3,0.0835168
26,2,8,0.0417597
26,2,9,1.65e-10
26,2,10,0.0417589
26,3,11,1.45e-10
26,3,4,0.0417572
26,3,12,0.0417575
26,4,13,0.0417567
26,14,4,3.98e-10
27,1,2,0.282017
27,1,5,6.4e-09
27,1,6,0.0705108
27,1,7,5.91e-09
27,2,3,0.140997
27,2,8,0.070502
27,2,9,6.29e-09
27,2,10,0.0704998
27,3,11,6.67e-09
27,3,4,0.0704951
27,3,12,0.0704959
27,4,13,0.0704937
27,4,14,7.05e-09
28,1,2,0.592831
28,1,5,7.69e-08
28,1,6,0.148237
28,1,7,7.56e-08
28,2,3,0.296364
28,2,8,0.148198
28,2,9,5.44e-08
28,2,10,0.148188
28,3,11,5.91e-08
28,3,4,0.148167
28,3,12,0.148171
28,4,13,0.148161
28,4,14,9.14e-08
29,1,2,0.998685
29,1,5,2.03e-07
29,1,6,0.249754
29,1,7,2.01e-07
29,2,3,0.499195
29,2,8,0.249644
29,2,9,1.35e-07
29,2,10,0.249616
29,3,11,1.48e-07
29,3,4,0.249556
29,3,12,0.249565
29,4,13,0.249537
29,4,14,2.44e-07
30,1,2,1.19283
30,1,5,1.22e-07
30,1,6,0.298327
30,1,7,1.21e-07
30,2,3,0.596207
30,2,8,0.298169
30,2,9,8.01e-08
30,2,10,0.298129
30,3,11,8.77e-08
30,3,4,0.298044
30,3,12,0.298057
30,4,13,0.298018
30,4,14,1.46e-07
31,1,2,0.998692
31,5,1,9.85e-08
31,1,6,0.249756
31,7,1,9.76e-08
31,2,3,0.499199
31,2,8,0.249645
31,9,2,6.59e-08
31,2,10,0.249617
31,11,3,7.2e-08
31,3,4,0.249558
31,3,12,0.249567
31,4,13,0.24954
31,14,4,1.18e-07
32,1,2,0.433301
32,5,1,8.09e-08
32,1,6,0.148422
32,7,1,7.86e-08
32,2,3,0.136475
32,2,8,0.148397
32,9,2,5.73e-08
32,2,10,0.148387
32,11,3,5.88e-08
32,4,3,0.0119147
32,3,12,0.148384
32,13,4,0.0119147
32,14,4,8.48e-08
33,2,1,0.0283334
33,1,5,7.04e-08
33,1,6,0.0706808
33,1,7,7.23e-08
33,3,2,0.1697
33,2,8,0.0706844
33,2,9,4.65e-08
33,2,10,0.0706822
33,3,11,5.6e-08
33,4,3,0.240401
33,3,12,0.0706918
33,13,4,0.240418
33,4,14,1.02e-07
