hour, t(sec), S1 (kVA), Ang1
1, 0.00000, 0.0418659, 25.8418
2, 0.00000, 0.046334, 25.8418
3, 0.00000, 0.0781484, 25.8418
4, 0.00000, 0.163836, 25.8428
5, 0.00000, 0.275025, 25.8447
6, 0.00000, 0.32793, 25.8432
7, 0.00000, 0.275022, 25.8395
8, 0.00000, 5.92077E-007, 109.901
9, 0.00000, 2.24946E-007, -71.2643
10, 0.00000, 2.20674E-007, -68.8727
11, 0.00000, 1.21188E-007, -65.9115
12, 0.00000, 7.08893E-008, -64.5508
13, 0.00000, 3.63475E-007, -79.4269
14, 0.00000, 0.387048, -154.152
15, 0.00000, 0.349898, -154.159
16, 0.00000, 0.132208, -154.157
17, 0.00000, 1.78521E-006, -73.3067
18, 0.00000, 5.77E-007, -70.3943
19, 0.00000, 9.13558E-008, -57.3365
20, 0.00000, 5.68378E-007, 108.638
21, 0.00000, 4.89014E-007, 109.395
22, 0.00000, 2.00197E-007, 112.263
23, 0.00000, 1.5946E-008, -123.878
24, 0.00000, 2.50834E-008, -83.1572
25, 0.00000, 7.86408E-011, 96.7596
26, 0.00000, 3.47991E-009, 95.1663
27, 0.00000, 6.08983E-009, -14.0162
28, 0.00000, 2.10701E-007, -68.9757
29, 0.00000, 6.23099E-007, -71.1346
30, 0.00000, 3.79046E-007, -71.4221
31, 0.00000, 2.98898E-007, 109.068
32, 0.00000, 2.14641E-007, 111.484
33, 0.00000, 2.24947E-007, -71.2641
34, 0.00000, 2.20674E-007, -68.8727
35, 0.00000, 1.21188E-007, -65.9115
36, 0.00000, 7.08893E-008, -64.5508
37, 0.00000, 1.88057E-006, -71.0272
38, 0.00000, 0.528305, -154.154
39, 0.00000, 0.349898, -154.16
40, 0.00000, 0.132208, -154.157
41, 0.00000, 1.78521E-006, -73.3067
42, 0.00000, 5.77E-007, -70.3943
43, 0.00000, 9.13558E-008, -57.3365
44, 0.00000, 5.68378E-007, 108.638
45, 0.00000, 4.89014E-007, 109.395
46, 0.00000, 2.00197E-007, 112.263
47, 0.00000, 1.5946E-008, -123.878
48, 0.00000, 2.50834E-008, -83.1572
49, 0.00000, 7.86408E-011, 96.7596
50, 0.00000, 3.47991E-009, 95.1663
51, 0.00000, 6.08983E-009, -14.0162
52, 0.00000, 2.10701E-007, -68.9757
53, 0.00000, 6.23099E-007, -71.1346
54, 0.00000, 3.79046E-007, -71.4221
55, 0.00000, 2.98898E-007, 109.068
56, 0.00000, 2.14641E-007, 111.484
57, 0.00000, 2.24947E-007, -71.2641
58, 0.00000, 2.20674E-007, -68.8727
59, 0.00000, 1.21188E-007, -65.9115
60, 0.00000, 7.08893E-008, -64.5508
61, 0.00000, 9.07255E-007, -68.9541
62, 0.00000, 0.15364, -154.154
63, 0.00000, 0.349899, -154.159
64, 0.00000, 0.132208, -154.157
65, 0.00000, 1.78521E-006, -73.3067
66, 0.00000, 5.77E-007, -70.3943
67, 0.00000, 9.13558E-008, -57.3365
68, 0.00000, 5.68378E-007, 108.638
69, 0.00000, 4.89014E-007, 109.395
70, 0.00000, 2.00197E-007, 112.263
71, 0.00000, 1.5946E-008, -123.878
72, 0.00000, 2.50834E-008, -83.1572
73, 0.00000, 7.86408E-011, 96.7596
74, 0.00000, 3.47991E-009, 95.1663
75, 0.00000, 6.08983E-009, -14.0162
76, 0.00000, 2.10701E-007, -68.9757
77, 0.00000, 6.23099E-007, -71.1346
78, 0.00000, 3.79046E-007, -71.4221
79, 0.00000, 2.98898E-007, 109.068
80, 0.00000, 0.0418659, 25.8418
81, 0.00000, 0.046334, 25.8418
82, 0.00000, 0.0781484, 25.8418
83, 0.00000, 0.163836, 25.8428
84, 0.00000, 0.275025, 25.8447
85, 0.00000, 0.32793, 25.8432
86, 0.00000, 0.275022, 25.8395
87, 0.00000, 5.92077E-007, 109.901
88, 0.00000, 2.24946E-007, -71.2643
89, 0.00000, 2.20674E-007, -68.8727
90, 0.00000, 1.21188E-007, -65.9115
91, 0.00000, 7.08893E-008, -64.5508
92, 0.00000, 3.63475E-007, -79.4269
93, 0.00000, 0.387048, -154.152
94, 0.00000, 0.349898, -154.159
95, 0.00000, 0.132208, -154.157
96, 0.00000, 1.78521E-006, -73.3067
97, 0.00000, 5.77E-007, -70.3943
98, 0.00000, 9.13558E-008, -57.3365
99, 0.00000, 5.68378E-007, 108.638
100, 0.00000, 4.89014E-007, 109.395
101, 0.00000, 2.00197E-007, 112.263
102, 0.00000, 1.5946E-008, -123.878
103, 0.00000, 2.50834E-008, -83.1572
104, 0.00000, 7.86408E-011, 96.7596
105, 0.00000, 3.47991E-009, 95.1663
106, 0.00000, 6.08983E-009, -14.0162
107, 0.00000, 2.10701E-007, -68.9757
108, 0.00000, 6.23099E-007, -71.1346
109, 0.00000, 3.79046E-007, -71.4221
110, 0.00000, 2.98898E-007, 109.068
111, 0.00000, 2.14641E-007, 111.484
112, 0.00000, 2.24947E-007, -71.2641
113, 0.00000, 2.20674E-007, -68.8727
114, 0.00000, 1.21188E-007, -65.9115
115, 0.00000, 7.08893E-008, -64.5508
116, 0.00000, 1.88057E-006, -71.0272
117, 0.00000, 0.528305, -154.154
118, 0.00000, 0.349898, -154.16
119, 0.00000, 0.132208, -154.157
120, 0.00000, 1.78521E-006, -73.3067
121, 0.00000, 5.77E-007, -70.3943
122, 0.00000, 9.13558E-008, -57.3365
123, 0.00000, 5.68378E-007, 108.638
124, 0.00000, 4.89014E-007, 109.395
125, 0.00000, 2.00197E-007, 112.263
126, 0.00000, 1.5946E-008, -123.878
127, 0.00000, 2.50834E-008, -83.1572
128, 0.00000, 7.86408E-011, 96.7596
129, 0.00000, 3.47991E-009, 95.1663
130, 0.00000, 6.08983E-009, -14.0162
131, 0.00000, 2.10701E-007, -68.9757
132, 0.00000, 6.23099E-007, -71.1346
133, 0.00000, 3.79046E-007, -71.4221
134, 0.00000, 2.98898E-007, 109.068
135, 0.00000, 2.14641E-007, 111.484
136, 0.00000, 2.24947E-007, -71.2641
137, 0.00000, 2.20674E-007, -68.8727
138, 0.00000, 1.21188E-007, -65.9115
139, 0.00000, 7.08893E-008, -64.5508
140, 0.00000, 9.07255E-007, -68.9541
141, 0.00000, 0.15364, -154.154
142, 0.00000, 0.349899, -154.159
143, 0.00000, 0.132208, -154.157
144, 0.00000, 1.78521E-006, -73.3067
145, 0.00000, 5.77E-007, -70.3943
146, 0.00000, 9.13558E-008, -57.3365
147, 0.00000, 5.68378E-007, 108.638
148, 0.00000, 4.89014E-007, 109.395
149, 0.00000, 2.00197E-007, 112.263
150, 0.00000, 1.5946E-008, -123.878
151, 0.00000, 2.50834E-008, -83.1572
152, 0.00000, 7.86408E-011, 96.7596
153, 0.00000, 3.47991E-009, 95.1663
154, 0.00000, 6.08983E-009, -14.0162
155, 0.00000, 2.10701E-007, -68.9757
