hour, t(sec), S1 (kVA), Ang1
1, 0.00000, 0.041855, 25.8419
2, 0.00000, 0.0463207, 25.8419
3, 0.00000, 0.0781104, 25.8419
4, 0.00000, 0.163668, 25.843
5, 0.00000, 0.274548, 25.8453
6, 0.00000, 0.327249, 25.8437
7, 0.00000, 0.274545, 25.8398
8, 0.00000, 6.06277E-007, 111.16
9, 0.00000, 2.44685E-007, -65.3271
10, 0.00000, 2.38374E-007, -63.5704
11, 0.00000, 1.31173E-007, -60.5035
12, 0.00000, 7.68469E-008, -59.0665
13, 0.00000, 3.89491E-007, -74.9826
14, 0.00000, 0.116582, -154.152
15, 0.00000, 0.350233, -154.16
16, 0.00000, 0.132188, -154.157
17, 0.00000, 1.84928E-006, -71.1527
18, 0.00000, 6.01297E-007, -67.7086
19, 0.00000, 9.576E-008, -53.7471
20, 0.00000, 5.95716E-007, 111.655
21, 0.00000, 5.13399E-007, 112.492
22, 0.00000, 2.11527E-007, 115.647
23, 0.00000, 1.70687E-008, -127.956
24, 0.00000, 2.58245E-008, -81.6919
25, 0.00000, 8.09169E-011, 98.7263
26, 0.00000, 3.57699E-009, 96.384
27, 0.00000, 7.22412E-009, -12.6635
28, 0.00000, 2.2212E-007, -65.6877
29, 0.00000, 6.53765E-007, -68.0673
30, 0.00000, 3.97372E-007, -68.3942
31, 0.00000, 3.13608E-007, 112.135
32, 0.00000, 2.19851E-007, 112.687
33, 0.00000, 2.44685E-007, -65.3269
34, 0.00000, 2.38374E-007, -63.5704
35, 0.00000, 1.31173E-007, -60.5035
36, 0.00000, 7.68469E-008, -59.0665
37, 0.00000, 0.542899, -154.154
38, 0.00000, 0.529675, -154.154
39, 0.00000, 0.350233, -154.16
40, 0.00000, 0.132188, -154.157
41, 0.00000, 1.84928E-006, -71.1527
42, 0.00000, 6.01297E-007, -67.7086
43, 0.00000, 9.576E-008, -53.7471
44, 0.00000, 5.95716E-007, 111.655
45, 0.00000, 5.13399E-007, 112.492
46, 0.00000, 2.11527E-007, 115.647
47, 0.00000, 1.70687E-008, -127.956
48, 0.00000, 2.58245E-008, -81.6919
49, 0.00000, 8.09169E-011, 98.7263
50, 0.00000, 3.57699E-009, 96.384
51, 0.00000, 7.22412E-009, -12.6635
52, 0.00000, 2.2212E-007, -65.6877
53, 0.00000, 6.53765E-007, -68.0673
54, 0.00000, 3.97372E-007, -68.3942
55, 0.00000, 3.13608E-007, 112.135
56, 0.00000, 2.19851E-007, 112.687
57, 0.00000, 2.44685E-007, -65.3269
58, 0.00000, 2.38374E-007, -63.5704
59, 0.00000, 1.31173E-007, -60.5035
60, 0.00000, 7.68469E-008, -59.0665
61, 0.00000, 9.52776E-007, -65.9511
62, 0.00000, 0.528513, -154.154
63, 0.00000, 0.350234, -154.16
64, 0.00000, 0.132188, -154.157
65, 0.00000, 1.84928E-006, -71.1527
66, 0.00000, 6.01297E-007, -67.7086
67, 0.00000, 9.576E-008, -53.7471
68, 0.00000, 5.95716E-007, 111.655
69, 0.00000, 5.13399E-007, 112.492
70, 0.00000, 2.11527E-007, 115.647
71, 0.00000, 1.70687E-008, -127.956
72, 0.00000, 2.58245E-008, -81.6919
73, 0.00000, 8.09169E-011, 98.7263
74, 0.00000, 3.57699E-009, 96.384
75, 0.00000, 7.22412E-009, -12.6635
76, 0.00000, 2.2212E-007, -65.6877
77, 0.00000, 6.53765E-007, -68.0673
78, 0.00000, 3.97372E-007, -68.3942
79, 0.00000, 3.13608E-007, 112.135
80, 0.00000, 0.041855, 25.8419
81, 0.00000, 0.0463207, 25.8419
82, 0.00000, 0.0781104, 25.8419
83, 0.00000, 0.163668, 25.843
84, 0.00000, 0.274548, 25.8453
85, 0.00000, 0.327249, 25.8437
86, 0.00000, 0.274545, 25.8398
87, 0.00000, 6.06277E-007, 111.16
88, 0.00000, 2.44685E-007, -65.3271
89, 0.00000, 2.38374E-007, -63.5704
90, 0.00000, 1.31173E-007, -60.5035
91, 0.00000, 7.68469E-008, -59.0665
92, 0.00000, 3.89491E-007, -74.9826
93, 0.00000, 0.116582, -154.152
94, 0.00000, 0.350233, -154.16
95, 0.00000, 0.132188, -154.157
96, 0.00000, 1.84928E-006, -71.1527
97, 0.00000, 6.01297E-007, -67.7086
98, 0.00000, 9.576E-008, -53.7471
99, 0.00000, 5.95716E-007, 111.655
100, 0.00000, 5.13399E-007, 112.492
101, 0.00000, 2.11527E-007, 115.647
102, 0.00000, 1.70687E-008, -127.956
103, 0.00000, 2.58245E-008, -81.6919
104, 0.00000, 8.09169E-011, 98.7263
105, 0.00000, 3.57699E-009, 96.384
106, 0.00000, 7.22412E-009, -12.6635
107, 0.00000, 2.2212E-007, -65.6877
108, 0.00000, 6.53765E-007, -68.0673
109, 0.00000, 3.97372E-007, -68.3942
110, 0.00000, 3.13608E-007, 112.135
111, 0.00000, 2.19851E-007, 112.687
112, 0.00000, 2.44685E-007, -65.3269
113, 0.00000, 2.38374E-007, -63.5704
114, 0.00000, 1.31173E-007, -60.5035
115, 0.00000, 7.68469E-008, -59.0665
116, 0.00000, 0.542899, -154.154
117, 0.00000, 0.529675, -154.154
118, 0.00000, 0.350233, -154.16
119, 0.00000, 0.132188, -154.157
120, 0.00000, 1.84928E-006, -71.1527
121, 0.00000, 6.01297E-007, -67.7086
122, 0.00000, 9.576E-008, -53.7471
123, 0.00000, 5.95716E-007, 111.655
124, 0.00000, 5.13399E-007, 112.492
125, 0.00000, 2.11527E-007, 115.647
