hour, t(sec), S1 (kVA), Ang1
1, 0.00000, 0.0396545, 18.1949
2, 0.00000, 0.0438856, 18.1949
3, 0.00000, 0.0740075, 18.195
4, 0.00000, 0.15509, 18.1963
5, 0.00000, 0.260202, 18.1987
6, 0.00000, 0.310173, 18.1973
7, 0.00000, 0.260199, 18.1933
8, 0.00000, 5.8354E-007, 104.636
9, 0.00000, 2.24201E-007, -75.5356
10, 0.00000, 2.20032E-007, -73.1962
11, 0.00000, 1.21052E-007, -70.1214
12, 0.00000, 7.08867E-008, -68.6983
13, 0.00000, 0.0634053, -161.804
14, 0.00000, 0.500597, -161.801
15, 0.00000, 0.331636, -161.808
16, 0.00000, 0.125207, -161.804
17, 0.00000, 1.75337E-006, -78.7624
18, 0.00000, 5.68245E-007, -75.6199
19, 0.00000, 9.02394E-008, -62.0709
20, 0.00000, 5.61669E-007, 103.587
21, 0.00000, 4.84302E-007, 104.461
22, 0.00000, 1.99979E-007, 107.748
23, 0.00000, 1.63886E-008, -138.667
24, 0.00000, 2.4206E-008, -90.4476
25, 0.00000, 7.63254E-011, 89.1966
26, 0.00000, 3.35148E-009, 87.5188
27, 0.00000, 7.13928E-009, -20.9589
28, 0.00000, 2.09826E-007, -73.6309
29, 0.00000, 6.16592E-007, -76.1117
30, 0.00000, 3.74685E-007, -76.4566
31, 0.00000, 2.95776E-007, 104.09
32, 0.00000, 2.1159E-007, 106.134
33, 0.00000, 2.24201E-007, -75.5356
34, 0.00000, 2.20032E-007, -73.1962
35, 0.00000, 1.21052E-007, -70.1214
36, 0.00000, 7.08867E-008, -68.6983
37, 0.00000, 1.87775E-006, -75.4032
38, 0.00000, 0.501427, -161.802
39, 0.00000, 0.331636, -161.808
40, 0.00000, 0.125207, -161.804
41, 0.00000, 1.75337E-006, -78.7624
42, 0.00000, 5.68245E-007, -75.6199
43, 0.00000, 9.02394E-008, -62.0709
44, 0.00000, 5.61669E-007, 103.587
45, 0.00000, 4.84302E-007, 104.461
46, 0.00000, 1.99979E-007, 107.748
47, 0.00000, 1.63886E-008, -138.667
48, 0.00000, 2.4206E-008, -90.4476
49, 0.00000, 7.63254E-011, 89.1966
50, 0.00000, 3.35148E-009, 87.5188
51, 0.00000, 7.13928E-009, -20.9589
52, 0.00000, 2.09826E-007, -73.6309
53, 0.00000, 6.16592E-007, -76.1117
54, 0.00000, 3.74685E-007, -76.4566
55, 0.00000, 2.95776E-007, 104.09
56, 0.00000, 2.1159E-007, 106.134
57, 0.00000, 2.24201E-007, -75.5356
58, 0.00000, 2.20032E-007, -73.1962
59, 0.00000, 1.21052E-007, -70.1214
60, 0.00000, 7.08867E-008, -68.6983
61, 0.00000, 0.0697398, -161.803
62, 0.00000, 0.500327, -161.802
63, 0.00000, 0.331637, -161.807
64, 0.00000, 0.125207, -161.804
65, 0.00000, 1.75337E-006, -78.7624
66, 0.00000, 5.68245E-007, -75.6199
67, 0.00000, 9.02394E-008, -62.0709
68, 0.00000, 5.61669E-007, 103.587
69, 0.00000, 4.84302E-007, 104.461
70, 0.00000, 1.99979E-007, 107.748
71, 0.00000, 1.63886E-008, -138.667
72, 0.00000, 2.4206E-008, -90.4476
73, 0.00000, 7.63254E-011, 89.1966
74, 0.00000, 3.35148E-009, 87.5188
75, 0.00000, 7.13928E-009, -20.9589
76, 0.00000, 2.09826E-007, -73.6309
77, 0.00000, 6.16592E-007, -76.1117
78, 0.00000, 3.74685E-007, -76.4566
79, 0.00000, 2.95776E-007, 104.09
80, 0.00000, 0.0396545, 18.1949
81, 0.00000, 0.0438856, 18.1949
82, 0.00000, 0.0740075, 18.195
83, 0.00000, 0.15509, 18.1963
84, 0.00000, 0.260202, 18.1987
85, 0.00000, 0.310173, 18.1973
86, 0.00000, 0.260199, 18.1933
87, 0.00000, 5.8354E-007, 104.636
88, 0.00000, 2.24201E-007, -75.5356
89, 0.00000, 2.20032E-007, -73.1962
90, 0.00000, 1.21052E-007, -70.1214
91, 0.00000, 7.08867E-008, -68.6983
92, 0.00000, 0.0634053, -161.804
93, 0.00000, 0.500597, -161.801
94, 0.00000, 0.331636, -161.808
95, 0.00000, 0.125207, -161.804
96, 0.00000, 1.75337E-006, -78.7624
97, 0.00000, 5.68245E-007, -75.6199
98, 0.00000, 9.02394E-008, -62.0709
99, 0.00000, 5.61669E-007, 103.587
100, 0.00000, 4.84302E-007, 104.461
101, 0.00000, 1.99979E-007, 107.748
102, 0.00000, 1.63886E-008, -138.667
103, 0.00000, 2.4206E-008, -90.4476
104, 0.00000, 7.63254E-011, 89.1966
105, 0.00000, 3.35148E-009, 87.5188
106, 0.00000, 7.13928E-009, -20.9589
107, 0.00000, 2.09826E-007, -73.6309
108, 0.00000, 6.16592E-007, -76.1117
109, 0.00000, 3.74685E-007, -76.4566
110, 0.00000, 2.95776E-007, 104.09
111, 0.00000, 2.1159E-007, 106.134
112, 0.00000, 2.24201E-007, -75.5356
113, 0.00000, 2.20032E-007, -73.1962
114, 0.00000, 1.21052E-007, -70.1214
115, 0.00000, 7.08867E-008, -68.6983
116, 0.00000, 1.87775E-006, -75.4032
117, 0.00000, 0.501427, -161.802
118, 0.00000, 0.331636, -161.808
119, 0.00000, 0.125207, -161.804
120, 0.00000, 1.75337E-006, -78.7624
121, 0.00000, 5.68245E-007, -75.6199
122, 0.00000, 9.02394E-008, -62.0709
123, 0.00000, 5.61669E-007, 103.587
124, 0.00000, 4.84302E-007, 104.461
125, 0.00000, 1.99979E-007, 107.748
126, 0.00000, 1.63886E-008, -138.667
127, 0.00000, 2.4206E-008, -90.4476
128, 0.00000, 7.63254E-011, 89.1966
129, 0.00000, 3.35148E-009, 87.5188
130, 0.00000, 7.13928E-009, -20.9589
131, 0.00000, 2.09826E-007, -73.6309
132, 0.00000, 6.16592E-007, -76.1117
133, 0.00000, 3.74685E-007, -76.4566
134, 0.00000, 2.95776E-007, 104.09
