hour, t(sec), P1 (kW), Q1 (kvar)
1, 0.00000, 0.0376802, 0.0182493
2, 0.00000, 0.0417016, 0.020197
3, 0.00000, 0.0703364, 0.0340654
4, 0.00000, 0.147463, 0.0714231
5, 0.00000, 0.247551, 0.119911
6, 0.00000, 0.295182, 0.142974
7, 0.00000, 0.247559, 0.119887
8, 0.00000, -2.08361E-007, 5.59444E-007
9, 0.00000, 7.03759E-008, -2.1223E-007
10, 0.00000, 7.85834E-008, -2.05447E-007
11, 0.00000, 4.90384E-008, -1.10469E-007
12, 0.00000, 3.02371E-008, -6.3925E-008
13, 0.00000, 6.58376E-008, -3.56808E-007
14, 0.00000, -0.475078, -0.230146
15, 0.00000, -0.314857, -0.152481
16, 0.00000, -0.118979, -0.0576263
17, 0.00000, 5.16568E-007, -1.71156E-006
18, 0.00000, 1.94571E-007, -5.43953E-007
19, 0.00000, 4.94479E-008, -7.69388E-008
20, 0.00000, -1.82817E-007, 5.39099E-007
21, 0.00000, -1.63995E-007, 4.61981E-007
22, 0.00000, -7.74546E-008, 1.85989E-007
23, 0.00000, -1.00689E-008, -1.2715E-008
24, 0.00000, 2.55676E-009, -2.47126E-008
25, 0.00000, -7.99729E-012, 7.75893E-011
26, 0.00000, -2.4399E-010, 3.43492E-009
27, 0.00000, 6.40213E-009, -1.6954E-009
28, 0.00000, 7.69301E-008, -1.97277E-007
29, 0.00000, 2.03232E-007, -5.90423E-007
30, 0.00000, 1.21605E-007, -3.59677E-007
31, 0.00000, -9.84887E-008, 2.82877E-007
32, 0.00000, -8.09404E-008, 2.00728E-007
33, 0.00000, 7.03772E-008, -2.12229E-007
34, 0.00000, 7.85834E-008, -2.05447E-007
35, 0.00000, 4.90384E-008, -1.10469E-007
36, 0.00000, 3.02371E-008, -6.3925E-008
37, 0.00000, 6.08517E-007, -1.7771E-006
38, 0.00000, -0.138541, -0.06711
39, 0.00000, -0.314859, -0.152478
40, 0.00000, -0.118979, -0.0576263
41, 0.00000, 5.16568E-007, -1.71156E-006
42, 0.00000, 1.94571E-007, -5.43953E-007
43, 0.00000, 4.94479E-008, -7.69388E-008
44, 0.00000, -1.82817E-007, 5.39099E-007
45, 0.00000, -1.63995E-007, 4.61981E-007
46, 0.00000, -7.74546E-008, 1.85989E-007
47, 0.00000, -1.00689E-008, -1.2715E-008
48, 0.00000, 2.55676E-009, -2.47126E-008
49, 0.00000, -7.99729E-012, 7.75893E-011
50, 0.00000, -2.4399E-010, 3.43492E-009
51, 0.00000, 6.40213E-009, -1.6954E-009
52, 0.00000, 7.69301E-008, -1.97277E-007
53, 0.00000, 2.03232E-007, -5.90423E-007
54, 0.00000, 1.21605E-007, -3.59677E-007
55, 0.00000, -9.84887E-008, 2.82877E-007
56, 0.00000, -8.09404E-008, 2.00728E-007
57, 0.00000, 7.03772E-008, -2.12229E-007
58, 0.00000, 7.85834E-008, -2.05447E-007
59, 0.00000, 4.90384E-008, -1.10469E-007
60, 0.00000, 3.02371E-008, -6.3925E-008
61, 0.00000, -0.563407, -0.272897
62, 0.00000, -0.474706, -0.229946
63, 0.00000, -0.314858, -0.152483
64, 0.00000, -0.118979, -0.0576263
65, 0.00000, 5.16568E-007, -1.71156E-006
66, 0.00000, 1.94571E-007, -5.43953E-007
67, 0.00000, 4.94479E-008, -7.69388E-008
68, 0.00000, -1.82817E-007, 5.39099E-007
69, 0.00000, -1.63995E-007, 4.61981E-007
