hour, t(sec), S1 (kVA), Ang1
1, 0.00000, 0.283597, 21.5737
2, 0.00000, 0.313861, 21.5738
3, 0.00000, 0.529331, 21.5743
4, 0.00000, 1.10952, 21.5767
5, 0.00000, 1.86203, 21.5806
6, 0.00000, 2.21995, 21.5799
7, 0.00000, 1.86202, 21.5752
8, 0.00000, 0.463182, 20.6928
9, 0.00000, 0.045601, -128.413
10, 0.00000, 0.309564, -151.982
11, 0.00000, 0.437517, -152.766
12, 0.00000, 0.50743, -152.959
13, 0.00000, 0.821103, -156.649
14, 0.00000, 1.21271, -158.682
15, 0.00000, 0.628988, -156.384
16, 0.00000, 0.51108, 19.5429
17, 0.00000, 1.32095, 21.1661
18, 0.00000, 1.58942, 21.7134
19, 0.00000, 1.6572, 22.1249
20, 0.00000, 1.36715, 22.1236
21, 0.00000, 0.968482, 22.1231
22, 0.00000, 0.566957, 22.1227
23, 0.00000, 0.271203, 22.1224
24, 0.00000, 0.162564, 22.1222
25, 0.00000, 0.162905, 22.1222
26, 0.00000, 0.180316, 22.1222
27, 0.00000, 0.304429, 22.1224
28, 0.00000, 0.639946, 22.1232
29, 0.00000, 1.07807, 22.1245
30, 0.00000, 1.28765, 22.1246
31, 0.00000, 1.07806, 22.1235
32, 0.00000, 0.463182, 20.693
33, 0.00000, 0.045601, -128.413
34, 0.00000, 0.309564, -151.982
35, 0.00000, 0.437517, -152.766
36, 0.00000, 0.50743, -152.959
37, 0.00000, 1.46423, -156.068
38, 0.00000, 1.62604, -157.536
39, 0.00000, 0.628989, -156.384
40, 0.00000, 0.51108, 19.5429
41, 0.00000, 1.32095, 21.1661
42, 0.00000, 1.58942, 21.7134
43, 0.00000, 1.6572, 22.1249
44, 0.00000, 1.36715, 22.1236
45, 0.00000, 0.968482, 22.1231
46, 0.00000, 0.566957, 22.1227
47, 0.00000, 0.271203, 22.1224
48, 0.00000, 0.162564, 22.1222
49, 0.00000, 0.162905, 22.1222
50, 0.00000, 0.180316, 22.1222
51, 0.00000, 0.304429, 22.1224
52, 0.00000, 0.639946, 22.1232
53, 0.00000, 1.07807, 22.1245
54, 0.00000, 1.28765, 22.1246
55, 0.00000, 1.07806, 22.1235
56, 0.00000, 0.463182, 20.693
57, 0.00000, 0.045601, -128.413
58, 0.00000, 0.309564, -151.982
59, 0.00000, 0.437517, -152.766
60, 0.00000, 0.50743, -152.959
61, 0.00000, 0.49262, -153.167
62, 0.00000, 1.26958, -156.344
63, 0.00000, 0.628991, -156.383
64, 0.00000, 0.51108, 19.5429
65, 0.00000, 1.32095, 21.1661
66, 0.00000, 1.58942, 21.7134
67, 0.00000, 1.6572, 22.1249
68, 0.00000, 1.36715, 22.1236
69, 0.00000, 0.968482, 22.1231
70, 0.00000, 0.566957, 22.1227
71, 0.00000, 0.271203, 22.1224
72, 0.00000, 0.162564, 22.1222
73, 0.00000, 0.162905, 22.1222
74, 0.00000, 0.180316, 22.1222
75, 0.00000, 0.304429, 22.1224
76, 0.00000, 0.639946, 22.1232
77, 0.00000, 1.07807, 22.1245
78, 0.00000, 1.28765, 22.1246
79, 0.00000, 1.07806, 22.1235
80, 0.00000, 0.283598, 21.5737
81, 0.00000, 0.313861, 21.5738
82, 0.00000, 0.529331, 21.5743
83, 0.00000, 1.10952, 21.5767
84, 0.00000, 1.86203, 21.5806
85, 0.00000, 2.21995, 21.5799
86, 0.00000, 1.86202, 21.5752
87, 0.00000, 0.463182, 20.6928
88, 0.00000, 0.045601, -128.413
89, 0.00000, 0.309564, -151.982
90, 0.00000, 0.437517, -152.766
91, 0.00000, 0.50743, -152.959
92, 0.00000, 0.821103, -156.649
93, 0.00000, 1.21271, -158.682
94, 0.00000, 0.628988, -156.384
95, 0.00000, 0.51108, 19.5429
96, 0.00000, 1.32095, 21.1661
97, 0.00000, 1.58942, 21.7134
98, 0.00000, 1.6572, 22.1249
99, 0.00000, 1.36715, 22.1236
100, 0.00000, 0.968482, 22.1231
101, 0.00000, 0.566957, 22.1227
102, 0.00000, 0.271203, 22.1224
103, 0.00000, 0.162564, 22.1222
104, 0.00000, 0.162905, 22.1222
105, 0.00000, 0.180316, 22.1222
106, 0.00000, 0.304429, 22.1224
107, 0.00000, 0.639946, 22.1232
108, 0.00000, 1.07807, 22.1245
109, 0.00000, 1.28765, 22.1246
110, 0.00000, 1.07806, 22.1235
111, 0.00000, 0.463182, 20.693
112, 0.00000, 0.045601, -128.413
113, 0.00000, 0.309564, -151.982
114, 0.00000, 0.437517, -152.766
115, 0.00000, 0.50743, -152.959
116, 0.00000, 1.46423, -156.068
117, 0.00000, 1.62604, -157.536
118, 0.00000, 0.628989, -156.384
119, 0.00000, 0.51108, 19.5429
120, 0.00000, 1.32095, 21.1661
121, 0.00000, 1.58942, 21.7134
