hour, t(sec), S1 (kVA), Ang1
157, 0.00000, 0.331467, 25.8392
158, 0.00000, 0.277499, 25.8389
159, 0.00000, 0.0418661, 25.8415
160, 0.00000, 0.0463341, 25.8415
161, 0.00000, 0.0781488, 25.8413
162, 0.00000, 0.163838, 25.8416
163, 0.00000, 0.275031, 25.8428
164, 0.00000, 0.327937, 25.8409
165, 0.00000, 0.275027, 25.8376
166, 0.00000, 0.164911, 25.8397
167, 0.00000, 0.0785338, 25.8413
168, 0.00000, 0.0465612, 25.8415
169, 0.00000, 0.0420974, 25.8415
170, 0.00000, 0.0420294, 25.8415
171, 0.00000, 0.0702931, 25.8415
172, 0.00000, 0.148488, 25.8436
173, 0.00000, 0.253113, 25.8379
174, 0.00000, 0.354641, 25.8391
175, 0.00000, 0.427672, 25.8401
176, 0.00000, 0.454454, 25.8383
177, 0.00000, 0.42664, 25.8379
178, 0.00000, 0.35194, 25.8378
179, 0.00000, 0.249285, 25.8389
180, 0.00000, 0.145917, 25.8403
181, 0.00000, 0.0697935, 25.8413
182, 0.00000, 0.0418342, 25.8415
183, 0.00000, 0.0419221, 25.8415
184, 0.00000, 0.0464029, 25.8415
185, 0.00000, 0.0783448, 25.8412
186, 0.00000, 0.164706, 25.8406
187, 0.00000, 0.2775, 25.84
188, 0.00000, 0.331467, 25.8392
189, 0.00000, 0.277499, 25.8389
190, 0.00000, 0.164911, 25.8401
191, 0.00000, 0.0785338, 25.8413
192, 0.00000, 0.0465612, 25.8415
193, 0.00000, 0.0420974, 25.8415
194, 0.00000, 0.0420294, 25.8415
195, 0.00000, 0.0705963, 25.8424
196, 0.00000, 0.14867, 25.8426
197, 0.00000, 0.253113, 25.8375
198, 0.00000, 0.354641, 25.8391
199, 0.00000, 0.427672, 25.8401
200, 0.00000, 0.454454, 25.8383
201, 0.00000, 0.42664, 25.8379
202, 0.00000, 0.35194, 25.8378
203, 0.00000, 0.249285, 25.8389
204, 0.00000, 0.145917, 25.8403
205, 0.00000, 0.0697935, 25.8413
206, 0.00000, 0.0418342, 25.8415
207, 0.00000, 0.0419221, 25.8415
208, 0.00000, 0.0464029, 25.8415
209, 0.00000, 0.0783448, 25.8412
210, 0.00000, 0.164706, 25.8406
211, 0.00000, 0.2775, 25.84
212, 0.00000, 0.331467, 25.8392
213, 0.00000, 0.277499, 25.8389
214, 0.00000, 0.164911, 25.8401
215, 0.00000, 0.0785338, 25.8413
216, 0.00000, 0.0465612, 25.8415
217, 0.00000, 0.0420974, 25.8415
218, 0.00000, 0.0420294, 25.8415
219, 0.00000, 0.0704631, 25.8418
220, 0.00000, 0.14837, 25.8424
221, 0.00000, 0.253113, 25.8382
222, 0.00000, 0.354641, 25.8391
223, 0.00000, 0.427672, 25.8401
224, 0.00000, 0.454454, 25.8383
225, 0.00000, 0.42664, 25.8379
226, 0.00000, 0.35194, 25.8378
227, 0.00000, 0.249285, 25.8389
228, 0.00000, 0.145917, 25.8403
229, 0.00000, 0.0697935, 25.8413
230, 0.00000, 0.0418342, 25.8415
231, 0.00000, 0.0419221, 25.8415
232, 0.00000, 0.0464029, 25.8415
233, 0.00000, 0.0783448, 25.8412
234, 0.00000, 0.164706, 25.8406
235, 0.00000, 0.2775, 25.84
236, 0.00000, 0.331467, 25.8392
237, 0.00000, 0.277499, 25.8389
238, 0.00000, 0.0418661, 25.8415
239, 0.00000, 0.0463341, 25.8415
240, 0.00000, 0.0781488, 25.8413
241, 0.00000, 0.163838, 25.8416
242, 0.00000, 0.275031, 25.8428
243, 0.00000, 0.327937, 25.8409
244, 0.00000, 0.275027, 25.8376
245, 0.00000, 0.164911, 25.8397
246, 0.00000, 0.0785338, 25.8413
247, 0.00000, 0.0465612, 25.8415
248, 0.00000, 0.0420974, 25.8415
249, 0.00000, 0.0420294, 25.8415
250, 0.00000, 0.0702931, 25.8415
251, 0.00000, 0.148488, 25.8436
252, 0.00000, 0.253113, 25.8379
253, 0.00000, 0.354641, 25.8391
254, 0.00000, 0.427672, 25.8401
255, 0.00000, 0.454454, 25.8383
256, 0.00000, 0.42664, 25.8379
257, 0.00000, 0.35194, 25.8378
258, 0.00000, 0.249285, 25.8389
259, 0.00000, 0.145917, 25.8403
260, 0.00000, 0.0697935, 25.8413
261, 0.00000, 0.0418342, 25.8415
262, 0.00000, 0.0419221, 25.8415
263, 0.00000, 0.0464029, 25.8415
264, 0.00000, 0.0783448, 25.8412
265, 0.00000, 0.164706, 25.8406
266, 0.00000, 0.2775, 25.84
267, 0.00000, 0.331467, 25.8392
268, 0.00000, 0.277499, 25.8389
269, 0.00000, 0.164911, 25.8401
270, 0.00000, 0.0785338, 25.8413
271, 0.00000, 0.0465612, 25.8415
272, 0.00000, 0.0420974, 25.8415
273, 0.00000, 0.0420294, 25.8415
274, 0.00000, 0.0705963, 25.8424
275, 0.00000, 0.14867, 25.8426
276, 0.00000, 0.253113, 25.8375
277, 0.00000, 0.354641, 25.8391
278, 0.00000, 0.427672, 25.8401
279, 0.00000, 0.454454, 25.8383
280, 0.00000, 0.42664, 25.8379
281, 0.00000, 0.35194, 25.8378
282, 0.00000, 0.249285, 25.8389
283, 0.00000, 0.145917, 25.8403
284, 0.00000, 0.0697935, 25.8413
