hour, t(sec), P1 (kW), Q1 (kvar)
1, 0.00000, 0.0376698, 0.0182443
2, 0.00000, 0.0416889, 0.0201908
3, 0.00000, 0.0703002, 0.034048
4, 0.00000, 0.147304, 0.0713461
5, 0.00000, 0.247097, 0.119693
6, 0.00000, 0.294536, 0.142662
7, 0.00000, 0.247106, 0.119668
8, 0.00000, -0.0119149, -0.00576975
9, 0.00000, -0.240418, -0.116443
10, 0.00000, -0.399133, -0.193316
11, 0.00000, -0.502892, -0.243569
12, 0.00000, -0.565708, -0.273993
13, 0.00000, -0.562614, -0.2725
14, 0.00000, -0.47575, -0.230472
15, 0.00000, -0.315197, -0.152643
16, 0.00000, -0.118966, -0.0576198
17, 0.00000, 0.0774565, 0.0375161
18, 0.00000, 0.249959, 0.121063
19, 0.00000, 0.383476, 0.185724
20, 0.00000, 0.316409, 0.153236
21, 0.00000, 0.224188, 0.108575
22, 0.00000, 0.131268, 0.0635749
23, 0.00000, 0.0628009, 0.0304158
24, 0.00000, 0.037646, 0.0182328
25, 0.00000, 0.0377251, 0.0182711
26, 0.00000, 0.0417567, 0.0202237
27, 0.00000, 0.0704937, 0.0341415
28, 0.00000, 0.148161, 0.0717578
29, 0.00000, 0.249537, 0.12086
30, 0.00000, 0.298018, 0.144338
31, 0.00000, 0.24954, 0.120854
32, 0.00000, -0.0119147, -0.00577023
33, 0.00000, -0.240418, -0.116443
34, 0.00000, -0.399133, -0.193316
35, 0.00000, -0.502892, -0.243569
36, 0.00000, -0.565708, -0.273993
37, 0.00000, -0.565527, -0.273941
38, 0.00000, -0.476652, -0.230892
39, 0.00000, -0.315199, -0.152641
40, 0.00000, -0.118966, -0.0576198
41, 0.00000, 0.0774565, 0.0375161
42, 0.00000, 0.249959, 0.121063
43, 0.00000, 0.383476, 0.185724
44, 0.00000, 0.316409, 0.153236
45, 0.00000, 0.224188, 0.108575
46, 0.00000, 0.131268, 0.0635749
47, 0.00000, 0.0628009, 0.0304158
48, 0.00000, 0.037646, 0.0182328
49, 0.00000, 0.0377251, 0.0182711
50, 0.00000, 0.0417567, 0.0202237
51, 0.00000, 0.0704937, 0.0341415
52, 0.00000, 0.148161, 0.0717578
53, 0.00000, 0.249537, 0.12086
54, 0.00000, 0.298018, 0.144338
55, 0.00000, 0.24954, 0.120854
56, 0.00000, -0.0119147, -0.00577023
57, 0.00000, -0.240418, -0.116443
58, 0.00000, -0.399133, -0.193316
59, 0.00000, -0.502892, -0.243569
60, 0.00000, -0.565708, -0.273993
61, 0.00000, -0.56388, -0.273124
62, 0.00000, -0.475608, -0.230383
63, 0.00000, -0.315198, -0.152646
64, 0.00000, -0.118966, -0.0576198
65, 0.00000, 0.0774565, 0.0375161
66, 0.00000, 0.249959, 0.121063
67, 0.00000, 0.383476, 0.185724
68, 0.00000, 0.316409, 0.153236
69, 0.00000, 0.224188, 0.108575
70, 0.00000, 0.131268, 0.0635749
71, 0.00000, 0.0628009, 0.0304158
72, 0.00000, 0.037646, 0.0182328
73, 0.00000, 0.0377251, 0.0182711
74, 0.00000, 0.0417567, 0.0202237
75, 0.00000, 0.0704937, 0.0341415
76, 0.00000, 0.148161, 0.0717578
77, 0.00000, 0.249537, 0.12086
78, 0.00000, 0.298018, 0.144338
79, 0.00000, 0.24954, 0.120854
80, 0.00000, 0.0376698, 0.0182443
81, 0.00000, 0.0416889, 0.0201908
82, 0.00000, 0.0703002, 0.034048
83, 0.00000, 0.147304, 0.0713461
84, 0.00000, 0.247097, 0.119693
85, 0.00000, 0.294536, 0.142662
86, 0.00000, 0.247106, 0.119668
87, 0.00000, -0.0119149, -0.00576975
88, 0.00000, -0.240418, -0.116443
89, 0.00000, -0.399133, -0.193316
90, 0.00000, -0.502892, -0.243569
91, 0.00000, -0.565708, -0.273993
92, 0.00000, -0.562614, -0.2725
93, 0.00000, -0.47575, -0.230472
94, 0.00000, -0.315197, -0.152643
95, 0.00000, -0.118966, -0.0576198
96, 0.00000, 0.0774565, 0.0375161
97, 0.00000, 0.249959, 0.121063
98, 0.00000, 0.383476, 0.185724
99, 0.00000, 0.316409, 0.153236
100, 0.00000, 0.224188, 0.108575
101, 0.00000, 0.131268, 0.0635749
102, 0.00000, 0.0628009, 0.0304158
103, 0.00000, 0.037646, 0.0182328
104, 0.00000, 0.0377251, 0.0182711
105, 0.00000, 0.0417567, 0.0202237
106, 0.00000, 0.0704937, 0.0341415
107, 0.00000, 0.148161, 0.0717578
108, 0.00000, 0.249537, 0.12086
109, 0.00000, 0.298018, 0.144338
110, 0.00000, 0.24954, 0.120854
111, 0.00000, -0.0119147, -0.00577023
112, 0.00000, -0.240418, -0.116443
113, 0.00000, -0.399133, -0.193316
114, 0.00000, -0.502892, -0.243569
115, 0.00000, -0.565708, -0.273993
116, 0.00000, -0.565527, -0.273941
117, 0.00000, -0.476652, -0.230892
118, 0.00000, -0.315199, -0.152641
119, 0.00000, -0.118966, -0.0576198
120, 0.00000, 0.0774565, 0.0375161
121, 0.00000, 0.249959, 0.121063
122, 0.00000, 0.383476, 0.185724
123, 0.00000, 0.316409, 0.153236
124, 0.00000, 0.224188, 0.108575
125, 0.00000, 0.131268, 0.0635749
126, 0.00000, 0.0628009, 0.0304158
127, 0.00000, 0.037646, 0.0182328
128, 0.00000, 0.0377251, 0.0182711
129, 0.00000, 0.0417567, 0.0202237
130, 0.00000, 0.0704937, 0.0341415
131, 0.00000, 0.148161, 0.0717578
132, 0.00000, 0.249537, 0.12086
133, 0.00000, 0.298018, 0.144338
134, 0.00000, 0.24954, 0.120854
135, 0.00000, -0.0119147, -0.00577023
136, 0.00000, -0.240418, -0.116443
137, 0.00000, -0.399133, -0.193316
138, 0.00000, -0.502892, -0.243569
139, 0.00000, -0.565708, -0.273993
140, 0.00000, -0.56388, -0.273124
141, 0.00000, -0.475608, -0.230383
142, 0.00000, -0.315198, -0.152646
143, 0.00000, -0.118966, -0.0576198
144, 0.00000, 0.0774565, 0.0375161
145, 0.00000, 0.249959, 0.121063
146, 0.00000, 0.383476, 0.185724
147, 0.00000, 0.316409, 0.153236
148, 0.00000, 0.224188, 0.108575
149, 0.00000, 0.131268, 0.0635749
150, 0.00000, 0.0628009, 0.0304158
151, 0.00000, 0.037646, 0.0182328
152, 0.00000, 0.0377251, 0.0182711
153, 0.00000, 0.0417567, 0.0202237
154, 0.00000, 0.0704937, 0.0341415
155, 0.00000, 0.148161, 0.0717578
156, 0.00000, 0.249537, 0.12086
157, 0.00000, 0.298018, 0.144338
158, 0.00000, 0.24954, 0.120854
159, 0.00000, 0.0376698, 0.0182443
160, 0.00000, 0.0416889, 0.0201908
161, 0.00000, 0.0703002, 0.034048
162, 0.00000, 0.147304, 0.0713461
163, 0.00000, 0.247097, 0.119693
164, 0.00000, 0.294536, 0.142662
165, 0.00000, 0.247106, 0.119668
166, 0.00000, -0.0119149, -0.00576975
167, 0.00000, -0.240418, -0.116443
168, 0.00000, -0.399133, -0.193316
169, 0.00000, -0.502892, -0.243569
170, 0.00000, -0.565708, -0.273993
171, 0.00000, -0.562614, -0.2725
172, 0.00000, -0.47575, -0.230472
173, 0.00000, -0.315197, -0.152643
174, 0.00000, -0.118966, -0.0576198
175, 0.00000, 0.0774565, 0.0375161
176, 0.00000, 0.249959, 0.121063
177, 0.00000, 0.383476, 0.185724
178, 0.00000, 0.316409, 0.153236
179, 0.00000, 0.224188, 0.108575
180, 0.00000, 0.131268, 0.0635749
181, 0.00000, 0.0628009, 0.0304158
182, 0.00000, 0.037646, 0.0182328
183, 0.00000, 0.0377251, 0.0182711
184, 0.00000, 0.0417567, 0.0202237
185, 0.00000, 0.0704937, 0.0341415
186, 0.00000, 0.148161, 0.0717578
187, 0.00000, 0.249537, 0.12086
188, 0.00000, 0.298018, 0.144338
189, 0.00000, 0.24954, 0.120854
190, 0.00000, -0.0119147, -0.00577023
191, 0.00000, -0.240418, -0.116443
192, 0.00000, -0.399133, -0.193316
193, 0.00000, -0.502892, -0.243569
194, 0.00000, -0.565708, -0.273993
195, 0.00000, -0.565527, -0.273941
196, 0.00000, -0.476652, -0.230892
197, 0.00000, -0.315199, -0.152641
198, 0.00000, -0.118966, -0.0576198
199, 0.00000, 0.0774565, 0.0375161
200, 0.00000, 0.249959, 0.121063
201, 0.00000, 0.383476, 0.185724
202, 0.00000, 0.316409, 0.153236
203, 0.00000, 0.224188, 0.108575
204, 0.00000, 0.131268, 0.0635749
205, 0.00000, 0.0628009, 0.0304158
206, 0.00000, 0.037646, 0.0182328
207, 0.00000, 0.0377251, 0.0182711
208, 0.00000, 0.0417567, 0.0202237
209, 0.00000, 0.0704937, 0.0341415
210, 0.00000, 0.148161, 0.0717578
211, 0.00000, 0.249537, 0.12086
212, 0.00000, 0.298018, 0.144338
213, 0.00000, 0.24954, 0.120854
214, 0.00000, -0.0119147, -0.00577023
215, 0.00000, -0.240418, -0.116443
216, 0.00000, -0.399133, -0.193316
217, 0.00000, -0.502892, -0.243569
218, 0.00000, -0.565708, -0.273993
219, 0.00000, -0.56388, -0.273124
220, 0.00000, -0.475608, -0.230383
221, 0.00000, -0.315198, -0.152646
222, 0.00000, -0.118966, -0.0576198
223, 0.00000, 0.0774565, 0.0375161
224, 0.00000, 0.249959, 0.121063
225, 0.00000, 0.383476, 0.185724
226, 0.00000, 0.316409, 0.153236
227, 0.00000, 0.224188, 0.108575
228, 0.00000, 0.131268, 0.0635749
229, 0.00000, 0.0628009, 0.0304158
230, 0.00000, 0.037646, 0.0182328
231, 0.00000, 0.0377251, 0.0182711
232, 0.00000, 0.0417567, 0.0202237
233, 0.00000, 0.0704937, 0.0341415
234, 0.00000, 0.148161, 0.0717578
235, 0.00000, 0.249537, 0.12086
236, 0.00000, 0.298018, 0.144338
237, 0.00000, 0.24954, 0.120854
238, 0.00000, 0.0376698, 0.0182443
239, 0.00000, 0.0416889, 0.0201908
240, 0.00000, 0.0703002, 0.034048
241, 0.00000, 0.147304, 0.0713461
242, 0.00000, 0.247097, 0.119693
243, 0.00000, 0.294536, 0.142662
244, 0.00000, 0.247106, 0.119668
245, 0.00000, -0.0119149, -0.00576975
246, 0.00000, -0.240418, -0.116443
247, 0.00000, -0.399133, -0.193316
248, 0.00000, -0.502892, -0.243569
249, 0.00000, -0.565708, -0.273993
250, 0.00000, -0.562614, -0.2725
251, 0.00000, -0.47575, -0.230472
252, 0.00000, -0.315197, -0.152643
253, 0.00000, -0.118966, -0.0576198
254, 0.00000, 0.0774565, 0.0375161
255, 0.00000, 0.249959, 0.121063
256, 0.00000, 0.383476, 0.185724
257, 0.00000, 0.316409, 0.153236
258, 0.00000, 0.224188, 0.108575
259, 0.00000, 0.131268, 0.0635749
260, 0.00000, 0.0628009, 0.0304158
261, 0.00000, 0.037646, 0.0182328
262, 0.00000, 0.0377251, 0.0182711
263, 0.00000, 0.0417567, 0.0202237
264, 0.00000, 0.0704937, 0.0341415
265, 0.00000, 0.148161, 0.0717578
266, 0.00000, 0.249537, 0.12086
267, 0.00000, 0.298018, 0.144338
268, 0.00000, 0.24954, 0.120854
269, 0.00000, -0.0119147, -0.00577023
270, 0.00000, -0.240418, -0.116443
271, 0.00000, -0.399133, -0.193316
272, 0.00000, -0.502892, -0.243569
273, 0.00000, -0.565708, -0.273993
274, 0.00000, -0.565527, -0.273941
275, 0.00000, -0.476652, -0.230892
276, 0.00000, -0.315199, -0.152641
277, 0.00000, -0.118966, -0.0576198
278, 0.00000, 0.0774565, 0.0375161
279, 0.00000, 0.249959, 0.121063
280, 0.00000, 0.383476, 0.185724
281, 0.00000, 0.316409, 0.153236
282, 0.00000, 0.224188, 0.108575
283, 0.00000, 0.131268, 0.0635749
284, 0.00000, 0.0628009, 0.0304158
285, 0.00000, 0.037646, 0.0182328
286, 0.00000, 0.0377251, 0.0182711
287, 0.00000, 0.0417567, 0.0202237
288, 0.00000, 0.0704937, 0.0341415
289, 0.00000, 0.148161, 0.0717578
290, 0.00000, 0.249537, 0.12086
291, 0.00000, 0.298018, 0.144338
292, 0.00000, 0.24954, 0.120854
293, 0.00000, -0.0119147, -0.00577023
294, 0.00000, -0.240418, -0.116443
295, 0.00000, -0.399133, -0.193316
296, 0.00000, -0.502892, -0.243569
297, 0.00000, -0.565708, -0.273993
298, 0.00000, -0.56388, -0.273124
299, 0.00000, -0.475608, -0.230383
300, 0.00000, -0.315198, -0.152646
301, 0.00000, -0.118966, -0.0576198
302, 0.00000, 0.0774565, 0.0375161
303, 0.00000, 0.249959, 0.121063
304, 0.00000, 0.383476, 0.185724
305, 0.00000, 0.316409, 0.153236
306, 0.00000, 0.224188, 0.108575
307, 0.00000, 0.131268, 0.0635749
308, 0.00000, 0.0628009, 0.0304158
309, 0.00000, 0.037646, 0.0182328
310, 0.00000, 0.0377251, 0.0182711
311, 0.00000, 0.0417567, 0.0202237
312, 0.00000, 0.0704937, 0.0341415
313, 0.00000, 0.148161, 0.0717578
314, 0.00000, 0.249537, 0.12086
315, 0.00000, 0.298018, 0.144338
316, 0.00000, 0.24954, 0.120854
317, 0.00000, 0.0376698, 0.0182443
318, 0.00000, 0.0416889, 0.0201908
319, 0.00000, 0.0703002, 0.034048
320, 0.00000, 0.147304, 0.0713461
321, 0.00000, 0.247097, 0.119693
322, 0.00000, 0.294536, 0.142662
323, 0.00000, 0.247106, 0.119668
324, 0.00000, -0.0119149, -0.00576975
325, 0.00000, -0.240418, -0.116443
326, 0.00000, -0.399133, -0.193316
327, 0.00000, -0.502892, -0.243569
328, 0.00000, -0.565708, -0.273993
329, 0.00000, -0.562614, -0.2725
330, 0.00000, -0.47575, -0.230472
331, 0.00000, -0.315197, -0.152643
332, 0.00000, -0.118966, -0.0576198
333, 0.00000, 0.0774565, 0.0375161
334, 0.00000, 0.249959, 0.121063
335, 0.00000, 0.383476, 0.185724
336, 0.00000, 0.316409, 0.153236
337, 0.00000, 0.224188, 0.108575
338, 0.00000, 0.131268, 0.0635749
339, 0.00000, 0.0628009, 0.0304158
340, 0.00000, 0.037646, 0.0182328
341, 0.00000, 0.0377251, 0.0182711
342, 0.00000, 0.0417567, 0.0202237
343, 0.00000, 0.0704937, 0.0341415
344, 0.00000, 0.148161, 0.0717578
345, 0.00000, 0.249537, 0.12086
346, 0.00000, 0.298018, 0.144338
347, 0.00000, 0.24954, 0.120854
348, 0.00000, -0.0119147, -0.00577023
349, 0.00000, -0.240418, -0.116443
350, 0.00000, -0.399133, -0.193316
351, 0.00000, -0.502892, -0.243569
352, 0.00000, -0.565708, -0.273993
353, 0.00000, -0.565527, -0.273941
354, 0.00000, -0.476652, -0.230892
355, 0.00000, -0.315199, -0.152641
356, 0.00000, -0.118966, -0.0576198
357, 0.00000, 0.0774565, 0.0375161
358, 0.00000, 0.249959, 0.121063
359, 0.00000, 0.383476, 0.185724
360, 0.00000, 0.316409, 0.153236
361, 0.00000, 0.224188, 0.108575
362, 0.00000, 0.131268, 0.0635749
363, 0.00000, 0.0628009, 0.0304158
364, 0.00000, 0.037646, 0.0182328
365, 0.00000, 0.0377251, 0.0182711
366, 0.00000, 0.0417567, 0.0202237
367, 0.00000, 0.0704937, 0.0341415
368, 0.00000, 0.148161, 0.0717578
369, 0.00000, 0.249537, 0.12086
370, 0.00000, 0.298018, 0.144338
371, 0.00000, 0.24954, 0.120854
372, 0.00000, -0.0119147, -0.00577023
373, 0.00000, -0.240418, -0.116443
374, 0.00000, -0.399133, -0.193316
375, 0.00000, -0.502892, -0.243569
