hour, t(sec), S1 (kVA), Ang1
1, 0.00000, 0.039657, 18.1947
2, 0.00000, 0.0438886, 18.1947
3, 0.00000, 0.0740161, 18.1947
4, 0.00000, 0.155128, 18.1956
5, 0.00000, 0.260309, 18.1976
6, 0.00000, 0.310327, 18.196
7, 0.00000, 0.260307, 18.1922
8, 0.00000, 0.156196, 18.1936
9, 0.00000, 0.0744023, 18.1948
10, 0.00000, 0.0441176, 18.1948
11, 0.00000, 0.0398907, 18.1947
12, 0.00000, 0.0398276, 18.1947
13, 0.00000, 0.0666211, 18.1949
14, 0.00000, 0.140758, 18.1976
15, 0.00000, 0.239869, 18.1924
16, 0.00000, 0.335893, 18.1943
17, 0.00000, 0.404897, 18.1959
18, 0.00000, 0.430194, 18.1942
19, 0.00000, 0.40385, 18.1936
20, 0.00000, 0.333189, 18.1929
21, 0.00000, 0.236051, 18.1934
22, 0.00000, 0.138198, 18.1942
23, 0.00000, 0.0661113, 18.1946
24, 0.00000, 0.0396292, 18.1947
25, 0.00000, 0.0397125, 18.1947
26, 0.00000, 0.0439567, 18.1947
27, 0.00000, 0.0742102, 18.1946
28, 0.00000, 0.155987, 18.1946
29, 0.00000, 0.262753, 18.1948
30, 0.00000, 0.313819, 18.1943
31, 0.00000, 0.262753, 18.1936
32, 0.00000, 0.156196, 18.1941
33, 0.00000, 0.0744023, 18.1948
34, 0.00000, 0.0441176, 18.1948
35, 0.00000, 0.0398907, 18.1947
36, 0.00000, 0.0398276, 18.1947
37, 0.00000, 0.0669299, 18.1958
38, 0.00000, 0.14096, 18.1965
39, 0.00000, 0.239869, 18.192
40, 0.00000, 0.335893, 18.1943
41, 0.00000, 0.404897, 18.1959
42, 0.00000, 0.430194, 18.1942
43, 0.00000, 0.40385, 18.1936
44, 0.00000, 0.333189, 18.1929
45, 0.00000, 0.236051, 18.1934
46, 0.00000, 0.138198, 18.1942
47, 0.00000, 0.0661113, 18.1946
48, 0.00000, 0.0396292, 18.1947
49, 0.00000, 0.0397125, 18.1947
50, 0.00000, 0.0439567, 18.1947
51, 0.00000, 0.0742102, 18.1946
52, 0.00000, 0.155987, 18.1946
53, 0.00000, 0.262753, 18.1948
54, 0.00000, 0.313819, 18.1943
55, 0.00000, 0.262753, 18.1936
56, 0.00000, 0.156196, 18.1941
57, 0.00000, 0.0744023, 18.1948
58, 0.00000, 0.0441176, 18.1948
59, 0.00000, 0.0398907, 18.1947
60, 0.00000, 0.0398276, 18.1947
61, 0.00000, 0.0667713, 18.1952
62, 0.00000, 0.140651, 18.1963
63, 0.00000, 0.23987, 18.1927
64, 0.00000, 0.335893, 18.1943
65, 0.00000, 0.404897, 18.1959
66, 0.00000, 0.430194, 18.1942
67, 0.00000, 0.40385, 18.1936
68, 0.00000, 0.333189, 18.1929
69, 0.00000, 0.236051, 18.1934
70, 0.00000, 0.138198, 18.1942
71, 0.00000, 0.0661113, 18.1946
72, 0.00000, 0.0396292, 18.1947
73, 0.00000, 0.0397125, 18.1947
74, 0.00000, 0.0439567, 18.1947
75, 0.00000, 0.0742102, 18.1946
76, 0.00000, 0.155987, 18.1946
77, 0.00000, 0.262753, 18.1948
78, 0.00000, 0.313819, 18.1943
79, 0.00000, 0.262753, 18.1936
80, 0.00000, 0.039657, 18.1947
81, 0.00000, 0.0438886, 18.1947
82, 0.00000, 0.0740161, 18.1947
83, 0.00000, 0.155128, 18.1956
84, 0.00000, 0.260309, 18.1976
85, 0.00000, 0.310327, 18.196
86, 0.00000, 0.260307, 18.1922
87, 0.00000, 0.156196, 18.1936
88, 0.00000, 0.0744023, 18.1948
89, 0.00000, 0.0441176, 18.1948
90, 0.00000, 0.0398907, 18.1947
91, 0.00000, 0.0398276, 18.1947
92, 0.00000, 0.0666211, 18.1949
93, 0.00000, 0.140758, 18.1976
94, 0.00000, 0.239869, 18.1924
95, 0.00000, 0.335893, 18.1943
96, 0.00000, 0.404897, 18.1959
97, 0.00000, 0.430194, 18.1942
98, 0.00000, 0.40385, 18.1936
99, 0.00000, 0.333189, 18.1929
100, 0.00000, 0.236051, 18.1934
101, 0.00000, 0.138198, 18.1942
102, 0.00000, 0.0661113, 18.1946
103, 0.00000, 0.0396292, 18.1947
104, 0.00000, 0.0397125, 18.1947
105, 0.00000, 0.0439567, 18.1947
106, 0.00000, 0.0742102, 18.1946
107, 0.00000, 0.155987, 18.1946
108, 0.00000, 0.262753, 18.1948
109, 0.00000, 0.313819, 18.1943
110, 0.00000, 0.262753, 18.1936
111, 0.00000, 0.156196, 18.1941
112, 0.00000, 0.0744023, 18.1948
113, 0.00000, 0.0441176, 18.1948
114, 0.00000, 0.0398907, 18.1947
115, 0.00000, 0.0398276, 18.1947
116, 0.00000, 0.0669299, 18.1958
117, 0.00000, 0.14096, 18.1965
118, 0.00000, 0.239869, 18.192
119, 0.00000, 0.335893, 18.1943
120, 0.00000, 0.404897, 18.1959
121, 0.00000, 0.430194, 18.1942
122, 0.00000, 0.40385, 18.1936
123, 0.00000, 0.333189, 18.1929
124, 0.00000, 0.236051, 18.1934
125, 0.00000, 0.138198, 18.1942
126, 0.00000, 0.0661113, 18.1946
127, 0.00000, 0.0396292, 18.1947
128, 0.00000, 0.0397125, 18.1947
129, 0.00000, 0.0439567, 18.1947
130, 0.00000, 0.0742102, 18.1946
131, 0.00000, 0.155987, 18.1946
132, 0.00000, 0.262753, 18.1948
133, 0.00000, 0.313819, 18.1943
134, 0.00000, 0.262753, 18.1936
135, 0.00000, 0.156196, 18.1941
136, 0.00000, 0.0744023, 18.1948
137, 0.00000, 0.0441176, 18.1948
138, 0.00000, 0.0398907, 18.1947
139, 0.00000, 0.0398276, 18.1947
140, 0.00000, 0.0667713, 18.1952
141, 0.00000, 0.140651, 18.1963
142, 0.00000, 0.23987, 18.1927
143, 0.00000, 0.335893, 18.1943
144, 0.00000, 0.404897, 18.1959
145, 0.00000, 0.430194, 18.1942
146, 0.00000, 0.40385, 18.1936
147, 0.00000, 0.333189, 18.1929
148, 0.00000, 0.236051, 18.1934
149, 0.00000, 0.138198, 18.1942
150, 0.00000, 0.0661113, 18.1946
151, 0.00000, 0.0396292, 18.1947
152, 0.00000, 0.0397125, 18.1947
153, 0.00000, 0.0439567, 18.1947
154, 0.00000, 0.0742102, 18.1946
155, 0.00000, 0.155987, 18.1946
156, 0.00000, 0.262753, 18.1948
157, 0.00000, 0.313819, 18.1943
158, 0.00000, 0.262753, 18.1936
159, 0.00000, 0.039657, 18.1947
160, 0.00000, 0.0438886, 18.1947
161, 0.00000, 0.0740161, 18.1947
162, 0.00000, 0.155128, 18.1956
163, 0.00000, 0.260309, 18.1976
164, 0.00000, 0.310327, 18.196
165, 0.00000, 0.260307, 18.1922
166, 0.00000, 0.156196, 18.1936
167, 0.00000, 0.0744023, 18.1948
168, 0.00000, 0.0441176, 18.1948
169, 0.00000, 0.0398907, 18.1947
170, 0.00000, 0.0398276, 18.1947
171, 0.00000, 0.0666211, 18.1949
172, 0.00000, 0.140758, 18.1976
173, 0.00000, 0.239869, 18.1924
174, 0.00000, 0.335893, 18.1943
175, 0.00000, 0.404897, 18.1959
176, 0.00000, 0.430194, 18.1942
177, 0.00000, 0.40385, 18.1936
178, 0.00000, 0.333189, 18.1929
179, 0.00000, 0.236051, 18.1934
180, 0.00000, 0.138198, 18.1942
181, 0.00000, 0.0661113, 18.1946
182, 0.00000, 0.0396292, 18.1947
183, 0.00000, 0.0397125, 18.1947
184, 0.00000, 0.0439567, 18.1947
185, 0.00000, 0.0742102, 18.1946
