hour, t(sec), S1 (kVA), Ang1
1, 0.00000, 0.0396577, 18.195
2, 0.00000, 0.0438895, 18.195
3, 0.00000, 0.0740186, 18.1951
4, 0.00000, 0.155139, 18.1965
5, 0.00000, 0.260341, 18.199
6, 0.00000, 0.310372, 18.1977
7, 0.00000, 0.260338, 18.1936
8, 0.00000, 0.156207, 18.1945
9, 0.00000, 0.0744048, 18.1952
10, 0.00000, 0.0441185, 18.195
11, 0.00000, 0.0398914, 18.195
12, 0.00000, 0.0398283, 18.195
13, 0.00000, 0.0666231, 18.1952
14, 0.00000, 0.140767, 18.1983
15, 0.00000, 0.239895, 18.1937
16, 0.00000, 0.335945, 18.1961
17, 0.00000, 0.404973, 18.1981
18, 0.00000, 0.43028, 18.1965
19, 0.00000, 0.403925, 18.1958
20, 0.00000, 0.33324, 18.1948
21, 0.00000, 0.236076, 18.1947
22, 0.00000, 0.138207, 18.1949
23, 0.00000, 0.0661133, 18.195
24, 0.00000, 0.03963, 18.195
25, 0.00000, 0.0397132, 18.195
26, 0.00000, 0.0439576, 18.195
27, 0.00000, 0.0742127, 18.195
28, 0.00000, 0.155998, 18.1954
29, 0.00000, 0.262785, 18.1962
30, 0.00000, 0.313864, 18.196
31, 0.00000, 0.262785, 18.195
32, 0.00000, 0.156207, 18.1949
33, 0.00000, 0.0744048, 18.1952
34, 0.00000, 0.0441185, 18.195
35, 0.00000, 0.0398914, 18.195
36, 0.00000, 0.0398283, 18.195
37, 0.00000, 0.0669319, 18.1961
38, 0.00000, 0.140969, 18.1973
39, 0.00000, 0.239895, 18.1933
40, 0.00000, 0.335945, 18.1961
41, 0.00000, 0.404973, 18.1981
42, 0.00000, 0.43028, 18.1965
43, 0.00000, 0.403925, 18.1958
44, 0.00000, 0.33324, 18.1948
45, 0.00000, 0.236076, 18.1947
46, 0.00000, 0.138207, 18.1949
47, 0.00000, 0.0661133, 18.195
48, 0.00000, 0.03963, 18.195
49, 0.00000, 0.0397132, 18.195
50, 0.00000, 0.0439576, 18.195
51, 0.00000, 0.0742127, 18.195
52, 0.00000, 0.155998, 18.1954
53, 0.00000, 0.262785, 18.1962
54, 0.00000, 0.313864, 18.196
