hour, t(sec), P1 (kW), Q1 (kvar)
136, 0.00000, -0.1697, -0.0821959
137, 0.00000, -0.357127, -0.17298
138, 0.00000, -0.464847, -0.225156
139, 0.00000, -0.527684, -0.255594
140, 0.00000, -0.566491, -0.264098
141, 0.00000, -1.2921, -0.551982
142, 0.00000, -0.717212, -0.298326
143, 0.00000, -0.0377117, 0.000240988
144, 0.00000, 0.462125, 0.223825
145, 0.00000, 0.658698, 0.319011
146, 0.00000, 0.767237, 0.371563
147, 0.00000, 0.633011, 0.306552
148, 0.00000, 0.448472, 0.21719
149, 0.00000, 0.262568, 0.127164
150, 0.00000, 0.125609, 0.0608346
151, 0.00000, 0.0752948, 0.0364666
152, 0.00000, 0.075453, 0.0365433
153, 0.00000, 0.0835168, 0.0404487
154, 0.00000, 0.140997, 0.0682869
155, 0.00000, 0.296364, 0.143532
156, 0.00000, 0.499195, 0.241767
157, 0.00000, 0.596207, 0.288745
158, 0.00000, 0.499199, 0.241758
159, 0.00000, 0.150691, 0.0671187
160, 0.00000, 0.16677, 0.0742804
161, 0.00000, 0.281241, 0.125266
162, 0.00000, 0.58939, 0.262527
163, 0.00000, 0.988889, 0.440508
164, 0.00000, 1.17885, 0.525085
165, 0.00000, 0.988922, 0.440409
166, 0.00000, 0.136475, 0.0660966
167, 0.00000, -0.1697, -0.0821959
168, 0.00000, -0.357127, -0.17298
169, 0.00000, -0.464847, -0.225156
170, 0.00000, -0.527684, -0.255594
171, 0.00000, -0.559353, -0.261565
172, 0.00000, -0.922095, -0.372711
173, 0.00000, -0.717211, -0.29832
174, 0.00000, -0.0377117, 0.000240988
175, 0.00000, 0.462125, 0.223825
176, 0.00000, 0.658698, 0.319011
177, 0.00000, 0.767237, 0.371563
178, 0.00000, 0.633011, 0.306552
179, 0.00000, 0.448472, 0.21719
180, 0.00000, 0.262568, 0.127164
181, 0.00000, 0.125609, 0.0608346
182, 0.00000, 0.0752948, 0.0364666
183, 0.00000, 0.075453, 0.0365433
184, 0.00000, 0.0835168, 0.0404487
185, 0.00000, 0.140997, 0.0682869
186, 0.00000, 0.296364, 0.143532
187, 0.00000, 0.499195, 0.241767
188, 0.00000, 0.596207, 0.288745
189, 0.00000, 0.499199, 0.241758
190, 0.00000, 0.136475, 0.0660966
191, 0.00000, -0.1697, -0.0821959
192, 0.00000, -0.357127, -0.17298
193, 0.00000, -0.464847, -0.225156
194, 0.00000, -0.527684, -0.255594
195, 0.00000, -0.989889, -0.479568
196, 0.00000, -1.29494, -0.553203
197, 0.00000, -0.717215, -0.298312
198, 0.00000, -0.0377117, 0.000240988
199, 0.00000, 0.462125, 0.223825
200, 0.00000, 0.658698, 0.319011
201, 0.00000, 0.767237, 0.371563
202, 0.00000, 0.633011, 0.306552
203, 0.00000, 0.448472, 0.21719
204, 0.00000, 0.262568, 0.127164
205, 0.00000, 0.125609, 0.0608346
206, 0.00000, 0.0752948, 0.0364666
207, 0.00000, 0.075453, 0.0365433
208, 0.00000, 0.0835168, 0.0404487
209, 0.00000, 0.140997, 0.0682869
210, 0.00000, 0.296364, 0.143532
211, 0.00000, 0.499195, 0.241767
212, 0.00000, 0.596207, 0.288745
213, 0.00000, 0.499199, 0.241758
214, 0.00000, 0.136475, 0.0660966
215, 0.00000, -0.1697, -0.0821959
216, 0.00000, -0.357127, -0.17298
217, 0.00000, -0.464847, -0.225156
218, 0.00000, -0.527684, -0.255594
219, 0.00000, -0.566491, -0.264098
220, 0.00000, -1.2921, -0.551982
221, 0.00000, -0.717212, -0.298326
222, 0.00000, -0.0377117, 0.000240988
223, 0.00000, 0.462125, 0.223825
224, 0.00000, 0.658698, 0.319011
225, 0.00000, 0.767237, 0.371563
226, 0.00000, 0.633011, 0.306552
227, 0.00000, 0.448472, 0.21719
228, 0.00000, 0.262568, 0.127164
229, 0.00000, 0.125609, 0.0608346
230, 0.00000, 0.0752948, 0.0364666
231, 0.00000, 0.075453, 0.0365433
232, 0.00000, 0.0835168, 0.0404487
233, 0.00000, 0.140997, 0.0682869
234, 0.00000, 0.296364, 0.143532
